title,genre,subgenre,description,thumbnail,age_rating,cast
하입보이스카웃,예능,버라이어티,"탁재훈, 장동민, 유정, 선우가 출연하는 예능 프로그램입니다.",https://image.tmdb.org/t/p/w500/4Miq4uWNKbmN0u5iCF2hnbWQ8rL.jpg,15세 이상,"탁재훈, 장동민, 유정, 선우"
엄마까투리5,애니,키즈,자연과 교감하며 성장하는 꿩병아리 4남매와 엄마 까투리 이야기,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240312_257%2F1710221678929VJ3Cu_PNG%2Fb418a2cc5c53e2550b4cab656ad74f3c.png,전체 이용가,"꽁지, 마지, 두리, 세찌, 엄마"
부부클리닉 사랑과 전쟁,드라마,휴먼,"부부의 이야기를 새로운 시각으로 들여다보고 그 접근 방법을 달리 하기에 진짜 부부이야기보다 더 진하고, 현실보다 더 치열한 우리의 모습을 돌아볼 수 있는 프로그램",https://image.tmdb.org/t/p/w500/2IpPVZdQHdTntl2yHUeQXNJHhE6.jpg,19세 이상,"이재만, 민지영, 최영완, 이정수, 장가현"
대국민 토크쇼 안녕하세요,예능,토크쇼,남녀노소 불문하고 이 시대를 함께 살아가고 있는 대한민국 국민들의 소소한 이야기부터 말 못한 고민까지! 때로는 웃음으로 때로는 감동으로! 서로 살아가는 이야기를 나눔으로써 소통 부재로 인한 사람들 사이의 벽을 허물어보는 프로그램,https://image.tmdb.org/t/p/w500/1oSc9094tHH7JDpAWBgijKA6H4G.jpg,15세 이상,"이영자, 정찬우, 김태균, 공승연, 신동엽"
산너머 남촌에는,드라마,휴먼,"시골로 향하는 진석네의 이삿짐 트럭. 이혼 후 아이 셋 딸린 홀애비가 된 진석은 서울 생활에 종지부를 찍고 귀농을 택한다. 그러나 귀농 첫날부터 녹녹치가 않다. 큰 딸 해별은 폐가나 다름없는 시골집을 보자마자 당장 서울로 돌아가자며 진석의 속을 태우고, 쌍둥이 해영과 동녘은 엄마가 보고 싶다고 울어댄다. 거기다 콩농사를 지을 생각으로 계약한 땅이 맹지라는 사실을 알게 되면서 진석은 그제서야 사기를 당했음을 알게 된다. 한편, 승주의 아들 현은 엄마를 찾겠다며 서울로 향하는 쌍둥이와 동행을 하게 되고... 사라진 아이들 때문에 온 마을이 발칵 뒤집힘은 물론 진석과 승주는 아이들을 찾으러 서울로 동행하게 된다.",https://image.tmdb.org/t/p/w500/wKwEQ2sfHCGLGKTVneau5wGfEmX.jpg,12세 이상,"우희진, 김창숙, 서태화, 이윤정, 이해리"
명성황후,드라마,사극_시대극,"화려한 외교술과 뛰어난 지략, 조선역사를 승리의 역사로 이끈 위대한 철의 여인 명성황후의 이야기",https://image.tmdb.org/t/p/w500/fdgaazAYS71AbzdiONPasjpDFdF.jpg,15세 이상,"이진우, 이미연, 최명길, 유동근, 이현경"
전국 노래자랑,예능,음악예능,전국을 누비며 펼쳐지는 노래 경연 프로그램입니다.,https://i.namu.wiki/i/Kiu_ZNMrWiA6XFbmIIPk0mms3OAb9ntzy9UBQHY0tgKB7_kTOdj8UfY2XNC0HsgOzmKOShlx_OqFi_tXKQ8l9OVwLv7FyNG6KIXKaGJQ3OMEzD_APX065aIeISQDrm0XCQmZfyKSuGdqPxlh1JNJXg.webp,전체 이용가,남희석
광개토태왕,드라마,사극_시대극,"고구려의 부흥기를 이끌어낸 '광개토대왕'의 일대기를 그린 대하사극. 고구려 왕의 둘째아들 담덕은 왕실과 고구려의 평안을 위해 자처하여 왕자의 호화로운 생활 대신 장수의 길을 택해 요동성의 일개 장수로 살아간다. 한편 중원 정복의 야욕을 품은 후연황제 모용수는 고구려 정벌을 결심한다. 모용수는 아들 모용보를 선발대 15만 대군의 선봉장으로 정해, 고구려의 서북방 요충지 요동성을 공격하게 한다. 상인으로 위장해 정보를 전해 준 아들 고운의 활약 덕에 국상 개연수는 모용수가 따로 출정한다는 사실을 알아채고 요동성 성주 고무 대장군에게 북쪽 길에서 요격을 지시하고, 담덕은 이것이 거짓 정보인지 의심하고 독자적으로 은밀히 행동을 개시하는데...",https://image.tmdb.org/t/p/w500/v2HPWydGyCFiMAh1PdIcfVrx8O9.jpg,15세 이상,"이태곤, 김승수, 임호, 박정철, 오지은"
넝쿨째 굴러온 당신,드라마,코미디,"'능력 있는 고아'를 이상형으로 꼽아온 커리어우먼 차윤희가 완벽한 조건의 외과 의사를 만나 결혼에 골인하지만, 상상하지도 못했던 시댁 등장으로 생기는 이야기를 그린 드라마다.",https://image.tmdb.org/t/p/w500/atqb301DOg4zduQKxJ4Wg7rIkSA.jpg,15세 이상,"윤여정, 유준상, 조윤희, 진경, 김창숙"
경제 스포트라이트,보도,보도,지속적인 경기 침체로 불안감이 커지는 요즘. 보다 나은 내일을 위해 오늘도 열심히 달려가는 대한민국의 모든 갓생러들을 위한 경제 정보 지침서,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240822_283%2F1724303420205D0vhy_PNG%2F5782fd097e189b74c02a422b7271abad.png,15세 이상,황상무
