channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
EBS1[14],01:10:00,방송시간이 아닙니다,,정보 없음,정보 없음,230,정보 없음,정보 없음,전체 이용가,정보 없음
EBS1[14],05:00:00,왕초보 영어,2488회,예능,교육예능,30,"영어 초보자를 위한 맞춤형 학습 프로그램입니다. 기초 문법부터 실생활 회화까지, 쉽고 재미있게 영어를 배울 수 있도록 구성되어 있습니다.",정보 없음,전체 이용가,정보 없음
EBS1[14],05:30:00,클래스e 1강 질문이 바뀌면AI의 답..,,보도,보도,20,클래스e 1강 질문이 바뀌면AI의 답..,,전체 이용가,정보 없음
EBS1[14],05:50:00,한국기행,,예능,"교양, 다큐멘터리",20,"대한민국의 숨은 비경을 찾아 떠나는 공간 여행. 역사와 풍습, 건축, 문화의 향기를 느끼고 전달하는 아름다운 시간 여행. 우리들이 모르고 있는 또 다른 우리들의 이야기를 담아내는 살아있는 현장 다큐멘터리 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F66%2F31%2F38%2F57_663138_poster_image_1501750912676.jpg,전체 이용가,정보 없음
EBS1[14],06:10:00,세계테마기행,,예능,"여행, 다큐멘터리",50,"단순한 여행 정보 프로그램에서 벗어나, 자유로운 배낭여행자만이 느낄 수 있는 살아있는 체험기를 전하는 다큐멘터리 프로그램",https://image.tmdb.org/t/p/w500/pHC70ke34d0pEOdhcx8lnWhRtqk.jpg,전체 이용가,정보 없음
EBS1[14],07:00:00,로보카 폴리,,애니,키즈,15,"구조 로봇 드로니가 토네이도 속에 뛰어들었다가 기억을 잃어버렸어요. 사막에서는 구조대가 별구경에 나선 캠핑카도 구해주고, 동굴에 갇힌 엄마와 딸도 구해준답니다.",https://image.tmdb.org/t/p/w500/aTqfIPS3GjmFnwJEzaElcYeXlZT.jpg,전체 이용가,"드로니, 샌디, 키튼, 데이지"
EBS1[14],07:15:00,모두 함께 부스누,,애니,키즈,15,자폐스펙트럼과 ADHD 어린이들도 함께 즐길 수 있는 특별한 구성의 스톱모션 3D 애니메이션,https://image.tmdb.org/t/p/w500/9uLDc20vi7MS4CRm8ZvyZPg2zW1.jpg,전체 이용가,정보 없음
EBS1[14],07:30:00,슈퍼윙스 슈퍼콤보,,애니,키즈,15,슈퍼윙스 슈퍼콤보 친구들이 새로운 미션을 해결하며 성장하는 이야기를 담은 어린이 애니메이션입니다.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250306_27%2F1741226569679gGHDp_JPEG%2F0f5c81caf8f1b51f276db9e5ebf56a8e.jpg,전체 이용가,"호기, 아리, 마티, 큐리, 루니"
EBS1[14],07:45:00,최강공룡 미니특공대,,애니,키즈,15,악당 카르노에 의해 지구에 불시착한 다이노이드 전사들! 미니특공대와 함께 카르노 군단의 위협으로부터 그레이트 코인과 다이노이드 코인을 지켜라!,https://image.tmdb.org/t/p/w500/jMnjuKFyCG6F2JP2e46bDcZHgGa.jpg,전체 이용가,"브레드 피트, 윌크 화이트, 초코, 소시지, 감자칩"
EBS1[14],08:00:00,딩동댕 딩동댕,,애니,키즈,50,가시별 대장의 가시 에너지로 인해 지구 아이들의 꿈과 희망 동심이 줄어들기 시작했고 번개맨은 지구 아이들을 돕기 위해 지구로 출동해요! 지구로 돌아온 번개맨! 번개맨은 혼자 지구의 많은 아이를 지켜야 하니 바쁘고 정신없어요. 이를 안타깝게 지켜본 뚝딱 아빠가 결심했어요! 바로 <번개 학교>를 만들고 미래의 영웅이 될 아이들을 모집하는데... 번개맨과 번개 학교 친구들은 악당들을 물리치고 어린이의 순수한 마음을 영원히 지킬 수 있을까요?,https://image.tmdb.org/t/p/w500/3Unkz4IqOHQclkk6ATNvEYvIDEH.jpg,전체 이용가,"딩딩, 동동, 댕댕"
