channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
ENA DRAMA[73],01:05:00,살롱 드 홈즈,8회,드라마,코미디,75,"광선주공아파트 추리력 만렙, 전직 에이스 형사와 보험왕, 그리고 알바의 여왕까지! 우리 단지 해결사로 뭉친 여성 4인방이 아파트 빌런을 응징하는 코믹 워맨스 활극",https://image.tmdb.org/t/p/w500/47MCvgws67hNpDZDqlsnUBotjfs.jpg,15세 이상,"이시영, 정영주, 김다솜, 남기애, 정상훈"
ENA DRAMA[73],02:20:00,내 아이의 사생활,28회,예능,버라이어티,100,"누구에게나 비밀은 있다! 어른들은 몰랐던 내 아이의 사생활, 궁금하셨나요? 내 아이에 대해서 잘 아는 것부터가 현명한 육아 및 교육의 시작! 부모가 없는 곳에서의 아이들의 기상천외한 일상이 이제 공개됩니다!",https://image.tmdb.org/t/p/w500/4FcsfuZgo0iB0pPE6yRDBZsrxEo.jpg,12세 이상,"장윤정, 도경완"
ENA DRAMA[73],04:00:00,연인,19회,드라마,"사극_시대극, 로맨스",80,병자호란의 병화 속으로 던져진 사랑. 만남과 이별을 반복하며 닿을 듯 닿지 못한 연인. 그들이 몹시 그리워하고 사랑했던 시절의 이야기,https://image.tmdb.org/t/p/w500/rrPCrCRyjdQ8igXIVNcIuL5KcIA.jpg,15세 이상,"남궁민, 안은진, 이학주, 이다인, 김윤우"
ENA DRAMA[73],05:20:00,언더커버,,예능,관찰리얼리티,20,"마약, 강도, 부패, 강간, 살인 등 범죄가 넘쳐나는 뉴욕시. 4번 관할서 소속의 두 형사, JC 윌리엄스와 에디 토레스는 강직하지만 때로는 유연성을 유감 없이 발휘하는 버지니아 쿠퍼 경위의 지휘 아래, 도시에 스며 있는 최악의 사람들과 싸우며 거리에서 각종 범죄를 청소해 나간다.",https://image.tmdb.org/t/p/w500/14dtuuJXd3drJZISX4FGbcfOPOv.jpg,19세 이상,"말릭 요바, 루나 로렌 베일즈, 조쉬 홉킨스, 토마스 미칼 포드, 마리사 라이언"
ENA DRAMA[73],05:40:00,씨름의 여왕,,예능,스포츠예능,90,"2022년 뜨거운 여름, K-씨름의 비상을 꿈꾸며 샅바를 잡은 여자들의 매치기 한 판 승부를 담은 모래판 위 본격 걸크러쉬 격투 예능",https://image.tmdb.org/t/p/w500/pZxm4w1z1jEM38HgbpHxFOzhhOe.jpg,15세 이상,"전현무, 이만기, 최정윤, 김경란, 심진화"
ENA DRAMA[73],07:10:00,트렌드 다큐 도시락,,예능,"쿡방_먹방, 교양",60,"도시인들의 건강, 라이프, 문화, 예술 등 다양한 소재를 즐겁게(樂) 꺼내보는 신개념 다큐멘터리. 트렌드 다큐도시락은 사회, 문화, 예술, 건강, 음식, 라이프 등 현대인이 직면한 이야기를 트렌디한 영상문법으로 즐겁게 풀어본다. 시청자들에게 트렌디한 소재와 정보를 전달하는 동시에 묵직한 질문과 깨달음을 인문학적으로 전달한다.",https://ktena.co.kr/data/file/variety/64f192ac8d12ad789d874b36756ac069_wQfK1szr_ab525ba010134493ae65044553eed3075c76528e.jpg,전체 이용가,정보 없음
ENA DRAMA[73],08:10:00,살롱 드 홈즈,,드라마,코미디,75,"광선주공아파트 추리력 만렙, 전직 에이스 형사와 보험왕, 그리고 알바의 여왕까지! 우리 단지 해결사로 뭉친 여성 4인방이 아파트 빌런을 응징하는 코믹 워맨스 활극",https://image.tmdb.org/t/p/w500/47MCvgws67hNpDZDqlsnUBotjfs.jpg,15세 이상,"이시영, 정영주, 김다솜, 남기애, 정상훈"
ENA DRAMA[73],09:25:00,지구마불 세계여행 3,,예능,여행,120,"노홍철, 주우재, 빠니보틀, 곽튜브, 이원지가 함께하는 예측불가 세계여행 버라이어티 프로그램. 주사위로 여행지를 결정하며 다양한 미션을 수행하고, 각자의 개성 넘치는 여행 스타일을 선보인다.",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250304_95%2F1741054914809d8ccp_PNG%2Fc3f4560468eb4befa4947973f8c2b4a2.png,전체 이용가,"노홍철, 주우재, 빠니보틀, 곽튜브, 이원지"
ENA DRAMA[73],11:25:00,노무사 노무진,,드라마,"판타지, 코미디",80,유령 보는 노무사의 좌충우돌 노동 문제 해결기를 담은 코믹 판타지 활극,https://image.tmdb.org/t/p/w500/eERbM9lqsb405V43BzGfyYfm3TH.jpg,15세 이상,"정경호, 설인아, 차학연, 탕준상, 유선호"
ENA DRAMA[73],12:45:00,노무사 노무진,,드라마,"판타지, 코미디",85,유령 보는 노무사의 좌충우돌 노동 문제 해결기를 담은 코믹 판타지 활극,https://image.tmdb.org/t/p/w500/eERbM9lqsb405V43BzGfyYfm3TH.jpg,15세 이상,"정경호, 설인아, 차학연, 탕준상, 유선호"
