channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
JTBC[15],00:00:00,냉장고를 부탁해since 2014,28회,예능,"쿡방/먹방, 토크쇼",90,냉장고 속 재료들로 셰프들이 15분 안에 요리 대결을 펼치는 프로그램.,https://upload.wikimedia.org/wikipedia/ko/thumb/e/e3/%EB%83%89%EC%9E%A5%EA%B3%A0%EB%A5%BC_%EB%B6%80%ED%83%81%ED%95%B4.jpg/250px-%EB%83%89%EC%9E%A5%EA%B3%A0%EB%A5%BC_%EB%B6%80%ED%83%81%ED%95%B4.jpg,12세 이상,"김성주, 안정환, 이연복, 최현석, 김풍"
JTBC[15],01:30:00,굿보이,10회,드라마,범죄 스릴러_수사극,80,특채로 경찰이 된 국제대회 메달리스트들이 메달 대신 경찰신분증을 목에 걸고 비양심과 반칙이 판치는 세상에 맞서기 위해 뭉친 이야기,https://image.tmdb.org/t/p/w500/axhVYU5lkCTKJAQdierbMSKeZWV.jpg,15세 이상,"박보검, 김소현, 오정세, 이상이, 허성태"
JTBC[15],02:50:00,두 도시 이야기,1회,보도,보도,70,두 도시 이야기,,전체 이용가,정보 없음
JTBC[15],04:00:00,JTBC다큐멘터리,4092회,예능,"교양, 다큐멘터리",60,JTBC다큐멘터리,https://fs.jtbc.co.kr/data/schedule/img/202506/20250620_170155_2889.png.tn320.png,전체 이용가,정보 없음
JTBC[15],05:00:00,내 몸을 부탁해,9회,예능,교양,60,"건강관리에 고민을 가진 연예인 의뢰인이 스튜디오에 출연해 본인의 관리법인 건강템 박스를 공개하고, 건강 프로파일러들의 진단을 받아보는 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250430_57%2F1745971355875p1jx4_JPEG%2F57_36818078_poster_image_1745971355867.jpg,15세 이상,"김성주, 김환"
JTBC[15],06:00:00,이토록 위대한 몸,3회,예능,교양,60,각 분야 건강 전문가들이 모여 우리가 잘 몰랐던 우리 몸에 관한 각종 건강 상식을 다루는 프로그램,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250612_44%2F1749696995961xolYv_JPEG%2F57_37057410_poster_image_1749696995953.jpg,15세 이상,"예지원, 이기호, 김태훈, 이희경, 이보은"
JTBC[15],07:00:00,매직펜던트 대모험,1회,애니,키즈,30,"말로 설명하기 힘든 부모님에 대한 효, 사람간의 정, 가족간의 사랑 등 우리나라에만 있는 독특하고 매력적인 문화를 소개하는 애니메이션",https://image.tmdb.org/t/p/w500/oQnkN1RqUPFCNuNvpgqEiS5uLj5.jpg,전체 이용가,"효정, 효지, 효리, 효몽, 뿌뿌"
JTBC[15],07:30:00,아침앤,,보도,보도,30,밤사이 일어난 뉴스를 발 빠르게 전해드립니다.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240311_238%2F1710119198796aiALm_JPEG%2F8d40edfe8994d5677bd90bc080603562.jpg,전체 이용가,정재우
JTBC[15],08:00:00,내 몸을 살리는 흥신소,6회,예능,교양,60,새로운 건강법을 철저하게 각인되는 방법으로 알려주는 新개념 건강 프로그램. 사건 해결 100%에 도전하듯 무병장수할 수 있는 건강 비결을 알아본다.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240715_20%2F1721003234754GG4TK_JPEG%2F57_34229833_poster_image_1721003234741.jpg,15세 이상,원기준
JTBC[15],09:00:00,친절한 진료실,41회,예능,교양,60,"역사 속 인물의 건강과 질환, 그 극복의 과정을 알아보고 현대인의 건강문제와 해법을 찾아가는 건강정보 토크",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F33%2F69%2F60%2F57_14336960_poster_image_1593770916227.jpg,15세 이상,"박선영, 이지연, 이혁호, 유민재"
JTBC[15],10:00:00,아는 형님,488회,예능,코미디,80,"2015년 12월 JTBC에서 방영을 시작한 버라이어티 쇼. 세상의 모든 질문을 그들만의 방식으로 풀어주는 아는 형님. 인생을 살다 보면 마주치게 되는 사소하지만 궁금해 견딜 수 없는 질문들. 그럴 땐 질문하라. 아는 형님이 답할 것이다. 나이도, 출신도, 성격도, 외모도 전혀 다르지만 인생 좀 살아 본, 그래서 인생을 좀 아는 형님들이 모여 그들만의 방식으로 추측하고 실험하고 전해주는 아는 형님만의 인생 해답. 지금부터 우리에게 속 시원한 답을 주기 위해 벌이는 형님들의 고군분투가 시작된다.",https://image.tmdb.org/t/p/w500/zak7mqMxJGnnWplSdbjDtV7bg2Y.jpg,15세 이상,"김영철, 민경훈, 강호동, 이수근, 김희철"
JTBC[15],11:20:00,톡파원 25시,166회,예능,토크쇼,80,"전 세계 공통된 관심사들을 해외 거주 중인 교민, 유학생 등이 직접 취재한 후 화상앱을 통해 실시간으로 대화하는 스튜디오 토크 프로그램",https://image.tmdb.org/t/p/w500/qn6Hj3P0tszQSGT2DXqd1CLE4Ae.jpg,12세 이상,"전현무, 김숙, 양세찬, 이찬원, 다니엘 린데만"
JTBC[15],12:40:00,1호가 될 순 없어2,5회,예능,관찰리얼리티,80,다양한 부부들의 일상을 관찰하며 결혼 생활의 현실적인 모습과 유쾌한 이야기를 담아내는 프로그램입니다.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240806_25%2F1722920410215J9QI4_JPEG%2F0347f6aef77f72783b86ac4e7cca5cb1.jpg,15세 이상,"전현무, 강소라, 조한선, 박선영, 레이"
JTBC[15],14:00:00,냉장고를 부탁해since 2014,28회,예능,"쿡방/먹방, 토크쇼",100,냉장고 속 재료들로 셰프들이 15분 안에 요리 대결을 펼치는 프로그램.,https://upload.wikimedia.org/wikipedia/ko/thumb/e/e3/%EB%83%89%EC%9E%A5%EA%B3%A0%EB%A5%BC_%EB%B6%80%ED%83%81%ED%95%B4.jpg/250px-%EB%83%89%EC%9E%A5%EA%B3%A0%EB%A5%BC_%EB%B6%80%ED%83%81%ED%95%B4.jpg,12세 이상,"김성주, 안정환, 이연복, 최현석, 김풍"
JTBC[15],15:40:00,이혼숙려캠프,43회,예능,버라이어티,80,인생을 새로고침하기 위한 부부들의 이야기 <이혼숙려캠프> - 정규편성,https://image.tmdb.org/t/p/w500/wuSVbPZcWSymdZTPu8I46R9blov.jpg,15세 이상,"박하선, 서장훈, 진태현"
JTBC[15],17:00:00,오대영 라이브,,보도,보도,90,오대영 라이브,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240806_124%2F1722923775493BCvnx_JPEG%2F51daa48937215a90e53e5a8886eb795f.jpg,전체 이용가,"오대영, 이수진"
JTBC[15],18:30:00,JTBC뉴스룸,,보도,보도,80,JTBC뉴스룸,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240311_119%2F1710117339733EvUUY_JPEG%2F8661dca9eeaa06e368f33d1424c88341.jpg,전체 이용가,"최재원, 한민용, 안나경"
JTBC[15],19:50:00,사건반장,,예능,교양,60,"세상을 향한 날 선 시각으로 우리 사회 숨은 진실을 추적한다! '사건반장'의 명쾌한 해설, 각 분야 전문가로 구성된 '분석단'의 날카로운 분석이 있는 신개념 시사 정보 프로그램",https://i.namu.wiki/i/Ymlvkhj5_fiPnl0Wgjq3G4oKTai7e1ioon_XFRmBuP1J1r9gXkNBnT-9Nm5Ly1wySnMuwSOs_He9Iw0v1CY7_hjefFiup4y2kfrQi3FvS6AnN5VOgDhQos3HwqiuVCNIThLgc58P7W-cScERXfxkRg.webp,15세 이상,"양원보, 백성문, 박지훈"
JTBC[15],20:50:00,톡파원 25시,167회,예능,토크쇼,120,"전 세계 공통된 관심사들을 해외 거주 중인 교민, 유학생 등이 직접 취재한 후 화상앱을 통해 실시간으로 대화하는 스튜디오 토크 프로그램",https://image.tmdb.org/t/p/w500/qn6Hj3P0tszQSGT2DXqd1CLE4Ae.jpg,12세 이상,"전현무, 김숙, 양세찬, 이찬원, 다니엘 린데만"
JTBC[15],22:50:00,굿보이,9회,드라마,범죄 스릴러_수사극,60,특채로 경찰이 된 국제대회 메달리스트들이 메달 대신 경찰신분증을 목에 걸고 비양심과 반칙이 판치는 세상에 맞서기 위해 뭉친 이야기,https://image.tmdb.org/t/p/w500/axhVYU5lkCTKJAQdierbMSKeZWV.jpg,15세 이상,"박보검, 김소현, 오정세, 이상이, 허성태"
