channel,airtime,title,genre,subgenre,runtime,description,thumbnail,age_rating,cast
KBS Story[74],00:40:00,부부클리닉 사랑과 전쟁,드라마,휴먼,65,"부부의 이야기를 새로운 시각으로 들여다보고 그 접근 방법을 달리 하기에 진짜 부부이야기보다 더 진하고, 현실보다 더 치열한 우리의 모습을 돌아볼 수 있는 프로그램",https://image.tmdb.org/t/p/w500/2IpPVZdQHdTntl2yHUeQXNJHhE6.jpg,19세 이상,"전무송, 강석우"
KBS Story[74],01:45:00,한국인의 밥상,보도,보도,55,한국인의 밥상,,전체 이용가,정보 없음
KBS Story[74],02:40:00,2TV생생정보,보도,보도,65,2TV생생정보,,전체 이용가,정보 없음
KBS Story[74],03:45:00,대국민 토크쇼 안녕하세요,예능,토크쇼,90,남녀노소 불문하고 이 시대를 함께 살아가고 있는 대한민국 국민들의 소소한 이야기부터 말 못한 고민까지! 때로는 웃음으로 때로는 감동으로! 서로 살아가는 이야기를 나눔으로써 소통 부재로 인한 사람들 사이의 벽을 허물어보는 프로그램,https://image.tmdb.org/t/p/w500/1oSc9094tHH7JDpAWBgijKA6H4G.jpg,15세 이상,"이영자, 정찬우, 김태균, 공승연, 신동엽"
KBS Story[74],05:15:00,산너머 남촌에는,드라마,휴먼,65,"시골로 향하는 진석네의 이삿짐 트럭. 이혼 후 아이 셋 딸린 홀애비가 된 진석은 서울 생활에 종지부를 찍고 귀농을 택한다. 그러나 귀농 첫날부터 녹녹치가 않다. 큰 딸 해별은 폐가나 다름없는 시골집을 보자마자 당장 서울로 돌아가자며 진석의 속을 태우고, 쌍둥이 해영과 동녘은 엄마가 보고 싶다고 울어댄다. 거기다 콩농사를 지을 생각으로 계약한 땅이 맹지라는 사실을 알게 되면서 진석은 그제서야 사기를 당했음을 알게 된다. 한편, 승주의 아들 현은 엄마를 찾겠다며 서울로 향하는 쌍둥이와 동행을 하게 되고... 사라진 아이들 때문에 온 마을이 발칵 뒤집힘은 물론 진석과 승주는 아이들을 찾으러 서울로 동행하게 된다.",https://image.tmdb.org/t/p/w500/wKwEQ2sfHCGLGKTVneau5wGfEmX.jpg,전체 이용가,"우희진, 김창숙, 서태화, 이윤정, 이혜리"
KBS Story[74],06:20:00,명성황후,드라마,사극_시대극,65,"화려한 외교술과 뛰어난 지략, 조선역사를 승리의 역사로 이끈 위대한 철의 여인 명성황후의 이야기",https://image.tmdb.org/t/p/w500/fdgaazAYS71AbzdiONPasjpDFdF.jpg,15세 이상,"이진우, 이미연, 최명길, 유동근, 이현경"
KBS Story[74],07:25:00,명성황후,드라마,사극_시대극,60,"화려한 외교술과 뛰어난 지략, 조선역사를 승리의 역사로 이끈 위대한 철의 여인 명성황후의 이야기",https://image.tmdb.org/t/p/w500/fdgaazAYS71AbzdiONPasjpDFdF.jpg,15세 이상,"이진우, 이미연, 최명길, 유동근, 이현경"
KBS Story[74],08:25:00,대운을 잡아라,드라마,휴먼,30,"돈 많은, 돈 없는, 돈 많고 싶은 세친구와 그 가족들이 펼치는 짠내나는 파란만장 성장기",https://image.tmdb.org/t/p/w500/aEqfkiRe2N2aUCcsNZfmPeTtz4P.jpg,15세 이상,"손창민, 선우재덕, 박상면, 이아현, 오영실"
KBS Story[74],08:55:00,대운을 잡아라,드라마,휴먼,45,"돈 많은, 돈 없는, 돈 많고 싶은 세친구와 그 가족들이 펼치는 짠내나는 파란만장 성장기",https://image.tmdb.org/t/p/w500/aEqfkiRe2N2aUCcsNZfmPeTtz4P.jpg,15세 이상,"손창민, 선우재덕, 박상면, 이아현, 오영실"
KBS Story[74],09:40:00,대운을 잡아라,드라마,휴먼,25,"돈 많은, 돈 없는, 돈 많고 싶은 세친구와 그 가족들이 펼치는 짠내나는 파란만장 성장기",https://image.tmdb.org/t/p/w500/aEqfkiRe2N2aUCcsNZfmPeTtz4P.jpg,15세 이상,"손창민, 선우재덕, 박상면, 이아현, 오영실"
KBS Story[74],10:05:00,대운을 잡아라,드라마,휴먼,45,"돈 많은, 돈 없는, 돈 많고 싶은 세친구와 그 가족들이 펼치는 짠내나는 파란만장 성장기",https://image.tmdb.org/t/p/w500/aEqfkiRe2N2aUCcsNZfmPeTtz4P.jpg,15세 이상,"손창민, 선우재덕, 박상면, 이아현, 오영실"
KBS Story[74],10:50:00,여왕의 집,드라마,로맨스,30,남편의 여자인 줄 모르고 불륜을 응원한 한 여자의 이야기를 그리는 미스터리 치정 멜로드라마,https://image.tmdb.org/t/p/w500/whCeG144BXyPT9HnXE4WOZLtoAm.jpg,19세 이상,"송윤아, 이성재, 전소민, 황찬성, 김승수"
KBS Story[74],11:20:00,여왕의 집,드라마,로맨스,50,남편의 여자인 줄 모르고 불륜을 응원한 한 여자의 이야기를 그리는 미스터리 치정 멜로드라마,https://image.tmdb.org/t/p/w500/whCeG144BXyPT9HnXE4WOZLtoAm.jpg,19세 이상,"송윤아, 이성재, 전소민, 황찬성, 김승수"
KBS Story[74],12:10:00,전국 노래자랑,예능,음악예능,80,각 지역의 숨은 노래 실력자들을 발굴하는 KBS의 장수 음악 프로그램입니다.,https://image.tmdb.org/t/p/w500/ryHYOprsXlCtRvxOpEPsbIMSDrz.jpg,전체 이용가,"무로이 시게루, 비토 이사오, 이토 아유미, 오토모 코헤이, 마츠다 미유키"
KBS Story[74],13:30:00,부부클리닉 사랑과 전쟁,드라마,휴먼,70,"부부의 이야기를 새로운 시각으로 들여다보고 그 접근 방법을 달리 하기에 진짜 부부이야기보다 더 진하고, 현실보다 더 치열한 우리의 모습을 돌아볼 수 있는 프로그램",https://image.tmdb.org/t/p/w500/2IpPVZdQHdTntl2yHUeQXNJHhE6.jpg,19세 이상,"전무송, 강석우"
KBS Story[74],14:40:00,대운을 잡아라,드라마,휴먼,30,"돈 많은, 돈 없는, 돈 많고 싶은 세친구와 그 가족들이 펼치는 짠내나는 파란만장 성장기",https://image.tmdb.org/t/p/w500/aEqfkiRe2N2aUCcsNZfmPeTtz4P.jpg,15세 이상,"손창민, 선우재덕, 박상면, 이아현, 오영실"
KBS Story[74],15:10:00,대운을 잡아라,드라마,휴먼,40,"돈 많은, 돈 없는, 돈 많고 싶은 세친구와 그 가족들이 펼치는 짠내나는 파란만장 성장기",https://image.tmdb.org/t/p/w500/aEqfkiRe2N2aUCcsNZfmPeTtz4P.jpg,15세 이상,"손창민, 선우재덕, 박상면, 이아현, 오영실"
KBS Story[74],15:50:00,여왕의 집,드라마,로맨스,35,남편의 여자인 줄 모르고 불륜을 응원한 한 여자의 이야기를 그리는 미스터리 치정 멜로드라마,https://image.tmdb.org/t/p/w500/whCeG144BXyPT9HnXE4WOZLtoAm.jpg,19세 이상,"송윤아, 이성재, 전소민, 황찬성, 김승수"
