channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
KBS1[9],01:40:00,KBS걸작 다큐멘터리,,보도,보도,50,세계의 다양한 다큐멘터리를 소개하는 프로그램,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F0%2F0%2F156%2F156017.jpg,전체 이용가,정보 없음
KBS1[9],02:30:00,걸어서 세계속으로 트래블홀릭,,예능,"교양, 다큐멘터리",55,"도시는 공간이다. 그곳엔 신과 인간, 삶과 죽음, 역사와 문화가 숨 쉰다. 도시는 인간의 역사를 증언하는 상형문자이자 과거와 현재 그리고 미래가 공존하는 삶의 공간이다. 세계의 다양한 도시들을 여행자의 시각으로 바라보고 그들의 역사와 문화, 삶의 모습을 담은 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220708_56%2F16572664398862WfRs_JPEG%2F57_659201_poster_image_1657266439873.jpg,전체 이용가,김진웅
KBS1[9],03:25:00,팔도밥상,,예능,교양,15,한국인의 밥상 스페셜 프로그램,https://search.pstatic.net/sunny?src=https%3A%2F%2Fprogramres.kbs.co.kr%2Ft2016-0728%2F2024%2F6%2F4%2F1717463464215_525674.jpg&type=fff208_208_ar,전체 이용가,최수종
KBS1[9],03:40:00,숨터,,예능,교양,5,"자연 속에서 자연과 공존을 꿈꾸는 사람들, 그들만의 방식으로 독특한 생태 습성을 보여주는 야생, 그리고 보잘것없으면서도 깊이 들여다보면 심오한 생명의 가치를 가지고 있는 비경 등을 소개하는 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F04%2F24%2F10%2F57_2042410_poster_image_1533605142771.jpg,전체 이용가,정보 없음
KBS1[9],03:45:00,아침마당,,예능,교양,75,"일상에서 만나는 선한 이웃들의 다양한 이야기들을 요일별로 특화, 감동과 재미, 가치와 의미를 느끼게 하는 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220106_39%2F1641428085749wkAui_JPEG%2F57_659003_poster_image_1641428085730.jpg,전체 이용가,"김재원, 엄지인"
KBS1[9],05:00:00,KBS재난방송센터,,보도,보도,10,매주 일요일 아침 6시 45분에 방송하는 KBS 2TV의 아침 재난 뉴스 정보 프로그램,https://i.namu.wiki/i/N5XZVKKqyoH0BpZ0UeC95uea1TFPw6hQaQa7wMcX2MTWhRIeqpAVnVJEK0-9DQvO62-oQ1Mr_o2Wqiv5ibbFxVGw10o2CWDVchkjZFXKf8u82AcLoY_o25EdKs-vzdugRTXu9L1izU_W6Zi6zuuT-w.webp,전체 이용가,김세현
KBS1[9],05:10:00,KBS네트워크 특선 지명수배,,예능,교양,50,한국방송공사 제작으로 각 지역의 특색을 다룬 프로그램,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F66%2F48%2F04%2F57_664804_poster_image_1533684350671.jpg,전체 이용가,정보 없음
KBS1[9],06:00:00,시니어 토크쇼 황금연못,,예능,교양,60,역경의 세월을 살아온 대한민국 시니어들의 다양한 인생과 그 속에 녹아있는 삶의 지혜를 젊은 세대와 함께 나누며 진솔하고 유쾌한 삶의 이야기를 소통하는 신개념 토크쇼,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240208_273%2F1707374029462tz8Gr_JPEG%2F57_2241224_poster_image_1707374029420.jpg,전체 이용가,"김승휘, 박지현, 남상일, 이승연"
KBS1[9],07:00:00,KBS뉴스,,보도,보도,10,KBS뉴스,정보 없음,전체 이용가,정보 없음
KBS1[9],07:10:00,숨터,,예능,교양,5,"자연 속에서 자연과 공존을 꿈꾸는 사람들, 그들만의 방식으로 독특한 생태 습성을 보여주는 야생, 그리고 보잘것없으면서도 깊이 들여다보면 심오한 생명의 가치를 가지고 있는 비경 등을 소개하는 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F04%2F24%2F10%2F57_2042410_poster_image_1533605142771.jpg,전체 이용가,정보 없음
KBS1[9],07:15:00,특파원 보고 세계는 지금,,예능,교양,45,"당신이 알고 싶은 세계 그리고, 당신이 알아야 할 세계. 1994년부터 이어온 <세계는 지금>, <특파원 현장보고> 등 KBS가 만들어 온 국제시사프로그램의 경험과 역량을 하나로 모아 지구촌의 생생한 숨결과 맥박을 직접 전해드리는 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F52%2F63%2F14%2F57_3526314_poster_image_1535591338956.jpg,전체 이용가,윤수영
KBS1[9],08:00:00,일요진단 라이브,,예능,교양,60,역동적인 정치토크와 품격있는 시사대담! 이슈의 친절한 안내자!,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20231120_278%2F1700450172622asBO7_JPEG%2F57_9799016_poster_image_1700450172594.jpg,전체 이용가,김대홍
KBS1[9],09:00:00,동네 한 바퀴,,예능,교양,55,"속도의 시대에 잃어버리고 살았던 동네의 아름다움, 오아시스 같은 사람들을 보물찾기하듯 동네의 숨은 매력을 재발견하며 팍팍한 삶에 따뜻한 위안을 전하는 도시 기행 다큐멘터리 프로그램",https://i.namu.wiki/i/bTQ6hNvE-opUBpa3cYsW-NUgeF_nWjqp16XHzNnKDpr7yQ5CyG1mfq8VAYb9vmMR_ICyvml8toNU7J9v3OaV3hhTyqXfHXEhu61PeNBnanEdfN_pEjmePP8iFIDN2auNTXnbg3kE3sIfsoX6dgbykw.webp,전체 이용가,"이만기, 강부자"
KBS1[9],09:55:00,팔도밥상,,예능,교양,15,한국인의 밥상 스페셜 프로그램,https://search.pstatic.net/sunny?src=https%3A%2F%2Fprogramres.kbs.co.kr%2Ft2016-0728%2F2024%2F6%2F4%2F1717463464215_525674.jpg&type=fff208_208_ar,전체 이용가,최수종
KBS1[9],10:10:00,TV비평 시청자 데스크,,보도,보도,60,KBS 프로그램에 관한 다양한 의견을 전달하는 옴부즈맨 프로그램,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240216_146%2F1708053683781S7fER_JPEG%2F57_659159_poster_image_1708053683758.jpg,전체 이용가,"김재홍, 가애란"
KBS1[9],11:10:00,TV쇼 진품명품,,예능,교양,50,우리 고미술품의 진가를 확인하는 국내 유일의 고미술 감정 프로그램,https://image.tmdb.org/t/p/w500/1wVvFSrfStJYr5NVRBHl40rHNwX.jpg,전체 이용가,왕종근
KBS1[9],12:00:00,KBS뉴스,,보도,보도,10,KBS뉴스,정보 없음,전체 이용가,정보 없음
