channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
MBC[11],00:30:00,푹 쉬면 다행이야,,예능,관찰리얼리티,110,‘푹다행’은 ‘안싸우면 다행이야’(안다행)를 이끌었던 ‘안촌장’ 안정환이 무인도 폐가를 고쳐 시청자를 초대하는 ‘0.5성급 무인도 체크인 리얼리티’다.,https://image.tmdb.org/t/p/w500/tfnL8GQbHzt3ui9Kv1HBhoOyEtX.jpg,12세 이상,"안정환, 이민호, 김대호"
MBC[11],02:20:00,방송 시간이 아닙니다,,정보 없음,정보 없음,160,정보 없음,정보 없음,전체 이용가,정보 없음
MBC[11],05:00:00,테마기행 길,,예능,"교양, 다큐멘터리, 여행",60,"부산을 비롯해 대전, 광주, 울산등 전국 8개 계열사가 공동으로 제 작하는 본격 로드기행 프로그램.",https://puzzle-alpha.sgp1.cdn.digitaloceanspaces.com/controller/dgmbc/2021/05/25105542-5D32-77FB-5AA3-XSFWBWFR08N645CQ3RYL.jpg,전체 이용가,정보 없음
MBC[11],06:00:00,MBC뉴스투데이,,보도,보도,25,단순 뉴스를 넘어서는 MBC의 아침 종합 뉴스 프로그램,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F65%2F96%2F70%2F57_659670_poster_image_1506388417674.jpg,전체 이용가,"손령, 정슬기, 박소영"
MBC[11],06:25:00,MBC뉴스투데이,,보도,보도,85,단순 뉴스를 넘어서는 MBC의 아침 종합 뉴스 프로그램,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F65%2F96%2F70%2F57_659670_poster_image_1506388417674.jpg,전체 이용가,"손령, 정슬기, 박소영"
MBC[11],07:50:00,생방송 오늘 아침,,예능,교양,60,"VJ들의 기동성 있는 취재와 심층적이며 생동감 있는 전달력을 통해 다양하며 유익한 시사, 정보, 이슈를 재미있게 전해주는 알찬 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F65%2F98%2F90%2F57_659890_poster_image_1577926482807.jpg,15세 이상,"김정현, 임현주"
MBC[11],08:50:00,태양을 삼킨 여자,15회,드라마,복수,40,"피해자가 가해자로 둔갑한 세상, 하나뿐인 딸의 이름으로 재벌가에 맞선 한 여자의 처절한 복수극",https://image.tmdb.org/t/p/w500/clYtDErvK8UIeLP2vXxok3TVJKd.jpg,15세 이상,"장 신영, 서 하준, 윤 아정, 오 창석, 전 노민"
MBC[11],09:30:00,930 MBC뉴스,,보도,보도,15,930 MBC뉴스,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F66%2F52%2F44%2F57_665244_poster_image_1558603614253.jpg,전체 이용가,엄주원
MBC[11],09:45:00,기분 좋은 날,,예능,교양,60,"화려함 뒤에 숨겨진 스타들의 진솔한 이야기와 이색 명소에서 펼쳐지는 스타들의 특별한 체험. 그리고 유쾌한 강의, 기분 좋은 정보! 웃음과 눈물이 함께하는 명강의와 생활에 유익한 다양한 정보가 함께 하는 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250623_8%2F1750639190639pQxHP_JPEG%2F57_659900_poster_image_1750639190632.jpg,12세 이상,"서인, 이진, 김한석"
MBC[11],10:45:00,뽀뽀뽀 좋아좋아,,예능,,30,"아이들을 위한 다양한 놀이와 노래, 율동을 담은 프로그램입니다.",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20210810_101%2F1628553362300G7Bs1_JPEG%2F57_19356985_poster_image_1628553362245.jpg,전체 이용가,"유소연, 김용석"
