channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
MBC드라마넷[35],00:10:00,언더커버 하이스쿨,8회,드라마,청춘,80,"국정원 요원이란 신분을 숨긴 채 고등학생으로 위장잠입을 한 남자가 학교 생활을 하며 친구들과 연대하고 공감, 성장해 나가는 유쾌하고 통쾌한 코믹 활극",https://image.tmdb.org/t/p/w500/AfIHFoByUqMOaluHRXOkV8JiXtJ.jpg,15세 이상,"서강준, 진기주, 김신록, 김민주, 윤가이"
MBC드라마넷[35],01:30:00,나 혼자 산다,604회,예능,버라이어티,120,"대한민국 1인 가구 453만 시대! 이제는 1인 가구가 대세! 연예계 역시 1/3은 1인 가구! 기러기 아빠, 주말부부, 상경 후 고군분투중인 청년, 독신남 등 각기 다른 이유로 싱글족이 된 스타들! 당당한 1인 가구의 싱글라이프는 과연 어떤 것일까? 1인 가구가 트렌드가 된 현 시점에서 프로그램을 통해 사회적 공감대를 형성해본다.",https://image.tmdb.org/t/p/w500/bq3Emv3pJLUyHvwGqiAXRwJvAmL.jpg,15세 이상,"박나래, 전현무, 키, 화사, 코드쿤스트"
MBC드라마넷[35],03:30:00,피크닉 라이브 소풍,107회,예능,음악예능,30,당신이 사랑하는 음악이 한 폭의 그림처럼 펼쳐진다. 새로운 공간을 하얀 캔버스 삼아 뮤지션들의 진솔한 이야기가 스케치 되어 형형색색의 음악들이 자유롭게 채색되는 세상. 그 어디에도 없는 LIVE MUSIC,https://image.tmdb.org/t/p/w500/kKvUWAGOWNdewLX19EpckZX3lxz.jpg,전체 이용가,정보 없음
MBC드라마넷[35],04:00:00,피크닉 라이브 소풍,108회,예능,음악예능,30,당신이 사랑하는 음악이 한 폭의 그림처럼 펼쳐진다. 새로운 공간을 하얀 캔버스 삼아 뮤지션들의 진솔한 이야기가 스케치 되어 형형색색의 음악들이 자유롭게 채색되는 세상. 그 어디에도 없는 LIVE MUSIC,https://image.tmdb.org/t/p/w500/kKvUWAGOWNdewLX19EpckZX3lxz.jpg,전체 이용가,정보 없음
MBC드라마넷[35],04:30:00,쇼킹 받는 차트,26회,예능,토크쇼,30,‘KING’+‘열 받네’의 합성어인 “킹 받네!” 열 받는다는 말로도 설명이 안 되는 킹 받는 사건들이 있다 당신을 분노케 할 시공 초월 충격 실화! 화려한 말빨과 신들린 연기로 때려 박는 차트쇼가 온다,https://image.tmdb.org/t/p/w500/fKVQGGC9X4fkgmZ4x92d6wQSLRP.jpg,15세 이상,"배성재, 랄랄, 이승국"
MBC드라마넷[35],05:00:00,히든 아이,41회,영화,미스터리,110,옥스퍼드 의과대학 졸업생인 에드워드 뉴게이트는 견습의 과정으로 스톤 허스트 정신병원으로 향한다. 이곳에서 뉴게이트는 병원장 램 박사와 치명적인 매력을 지닌 일라이저 그레이브스 부인을 만난다. 그는 자신의 환자인 그레이브스 부인을 향한 금지된 열망을 점차 키워간다. 그러던 중 램 박사 뒤에 숨겨졌던 끔직한 병원의 비밀들이 하나 둘씩 드러나는데…,https://image.tmdb.org/t/p/w500/3wr7Jc0DBDg1bNeqgxhla5MVbA8.jpg,15세 이상,"케이트 베킨세일, 짐 스터게스, 데이비드 듈리스, 브렌단 글리슨, 벤 킹슬리"
MBC드라마넷[35],06:50:00,나 혼자 산다,604회,예능,버라이어티,70,"대한민국 1인 가구 453만 시대! 이제는 1인 가구가 대세! 연예계 역시 1/3은 1인 가구! 기러기 아빠, 주말부부, 상경 후 고군분투중인 청년, 독신남 등 각기 다른 이유로 싱글족이 된 스타들! 당당한 1인 가구의 싱글라이프는 과연 어떤 것일까? 1인 가구가 트렌드가 된 현 시점에서 프로그램을 통해 사회적 공감대를 형성해본다.",https://image.tmdb.org/t/p/w500/bq3Emv3pJLUyHvwGqiAXRwJvAmL.jpg,15세 이상,"박나래, 전현무, 키, 화사, 코드쿤스트"
MBC드라마넷[35],08:00:00,글로벌도네이션쇼W,18회,예능,버라이어티,60,"전 세계의 기부 문화를 소개하고, 나눔의 가치를 전달하는 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F67%2F24%2F03%2F57_672403_poster_image_1591144084861.jpg,전체 이용가,"백지영, 황광희"
MBC드라마넷[35],09:00:00,태양을 삼킨 여자,22회,드라마,복수,40,"피해자가 가해자로 둔갑한 세상, 하나뿐인 딸의 이름으로 재벌가에 맞선 한 여자의 처절한 복수극",https://image.tmdb.org/t/p/w500/clYtDErvK8UIeLP2vXxok3TVJKd.jpg,15세 이상,"장 신영, 서 하준, 윤 아정, 오 창석, 전 노민"
MBC드라마넷[35],09:40:00,태양을 삼킨 여자,23회,드라마,복수,40,"피해자가 가해자로 둔갑한 세상, 하나뿐인 딸의 이름으로 재벌가에 맞선 한 여자의 처절한 복수극",https://image.tmdb.org/t/p/w500/clYtDErvK8UIeLP2vXxok3TVJKd.jpg,15세 이상,"장 신영, 서 하준, 윤 아정, 오 창석, 전 노민"
MBC드라마넷[35],10:20:00,태어난 김에 세계일주 4,,예능,여행,110,"기안84, 빠니보틀, 이시언, 덱스, 장도연이 출연하는 '태어난 김에 세계일주' 시리즈의 네 번째 시즌. 새로운 여행지에서 펼쳐지는 예측불가한 모험과 웃음을 선사한다.",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250424_232%2F1745460329854DY49e_JPEG%2Ff56606ab33529deded821ac62df1ebf1.jpg,15세 이상,"기안84, 빠니보틀, 이시언, 덱스, 장도연"
MBC드라마넷[35],12:10:00,나 혼자 산다,604회,예능,버라이어티,110,"대한민국 1인 가구 453만 시대! 이제는 1인 가구가 대세! 연예계 역시 1/3은 1인 가구! 기러기 아빠, 주말부부, 상경 후 고군분투중인 청년, 독신남 등 각기 다른 이유로 싱글족이 된 스타들! 당당한 1인 가구의 싱글라이프는 과연 어떤 것일까? 1인 가구가 트렌드가 된 현 시점에서 프로그램을 통해 사회적 공감대를 형성해본다.",https://image.tmdb.org/t/p/w500/bq3Emv3pJLUyHvwGqiAXRwJvAmL.jpg,15세 이상,"박나래, 전현무, 키, 화사, 코드쿤스트"
MBC드라마넷[35],14:00:00,출발 비디오 여행,1593회,예능,코미디,70,《출발! 비디오 여행》은 MBC TV에서 매주 일요일 낮 12시 5분에 방송하는 텔레비전 프로그램이다. 영화를 소개하거나 영화 관련 내용으로 한다.,https://image.tmdb.org/t/p/w500/7wiuE5wat9oWM9nloQeaPsfgbCv.jpg,전체 이용가,"서인, 김초롱, 이철용, 김경식, 김재우"
MBC드라마넷[35],15:10:00,나 혼자 산다,604회,예능,버라이어티,110,"대한민국 1인 가구 453만 시대! 이제는 1인 가구가 대세! 연예계 역시 1/3은 1인 가구! 기러기 아빠, 주말부부, 상경 후 고군분투중인 청년, 독신남 등 각기 다른 이유로 싱글족이 된 스타들! 당당한 1인 가구의 싱글라이프는 과연 어떤 것일까? 1인 가구가 트렌드가 된 현 시점에서 프로그램을 통해 사회적 공감대를 형성해본다.",https://image.tmdb.org/t/p/w500/bq3Emv3pJLUyHvwGqiAXRwJvAmL.jpg,15세 이상,"박나래, 전현무, 키, 화사, 코드쿤스트"
MBC드라마넷[35],17:00:00,전지적 참견 시점,355회,예능,버라이어티,110,"""당신의 인생에 참견해드립니다!"" 매니저들의 거침없는 제보로 공개되는 스타들의 리얼 일상! 그리고 시작되는 다양한 '참견 고수'들의 시시콜콜한 참견!",https://image.tmdb.org/t/p/w500/oRoGuuYiyQmxc1fU5oV5dPKlnAz.jpg,15세 이상,"전현무, 송은이, 유병재, 양세형, 이영자"
