channel,airtime,title,genre,subgenre,runtime,description,thumbnail,age_rating,cast
MBN[16],01:00:00,소나무,보도,보도,40,소나무,,전체 이용가,정보 없음
MBN[16],01:40:00,MBN다큐 미국의 대목장 탐험,보도,보도,50,MBN다큐 미국의 대목장 탐험,,전체 이용가,정보 없음
MBN[16],02:30:00,MBN다큐 와일드 피싱 시즌1,보도,보도,50,MBN다큐 와일드 피싱 시즌1,,전체 이용가,정보 없음
MBN[16],03:20:00,MBN다큐 와일드 피싱 시즌1,보도,보도,50,MBN다큐 와일드 피싱 시즌1,,전체 이용가,정보 없음
MBN[16],04:10:00,MBN다큐 와일드 피싱 시즌1,보도,보도,50,MBN다큐 와일드 피싱 시즌1,,전체 이용가,정보 없음
MBN[16],05:00:00,소나무,보도,보도,40,소나무,,전체 이용가,정보 없음
MBN[16],05:40:00,MBN재난대비센터,보도,보도,20,MBN재난대비센터,,전체 이용가,정보 없음
MBN[16],06:00:00,한번 더 체크타임,예능,교양,60,"당신의 남은 예상 수명을 알아보고, 건강한 삶을 위한 정보를 제공하는 프로그램입니다. 김국진, 윤형빈, 이수지가 출연하여 흥미로운 이야기와 유익한 정보를 전달합니다.",https://image.tmdb.org/t/p/w500/qkueGn00Wh3S4Le4FzSgi8RxxZ1.jpg,전체 이용가,"김국진, 윤형빈, 이수지"
MBN[16],07:00:00,굿모닝MBN,보도,보도,60,굿모닝MBN,,전체 이용가,정보 없음
MBN[16],08:00:00,아침 앤 매일경제,보도,보도,80,아침 앤 매일경제,,전체 이용가,정보 없음
MBN[16],09:20:00,전국네트워크뉴스,보도,보도,10,전국네트워크뉴스,,전체 이용가,정보 없음
MBN[16],09:30:00,천기누설,예능,교양,50,"《천기누설》은 대한민국의 MBN의 교양 프로그램으로, 2012년 5월 19일부터 방영 중인 건강 정보 프로그램이다. 초기에는 미스터리 추적 프로그램이었으나, 이후 건강 정보 프로그램의 포맷으로 바뀌었다.",https://image.tmdb.org/t/p/w500/tigjm9nO0P09Z8qESD3l41Gpnwi.jpg,전체 이용가,정보 없음
MBN[16],10:20:00,매일아침 맛집베스트,보도,보도,10,매일아침 맛집베스트,,전체 이용가,정보 없음
MBN[16],10:30:00,프레스룸LIVE,보도,보도,50,프레스룸LIVE,,전체 이용가,정보 없음
MBN[16],11:20:00,스포츠LIVE,스포츠,스포츠,20,스포츠LIVE,,전체 이용가,정보 없음
MBN[16],11:40:00,뿌지직 똥탐정,예능,교양,30,사건이 터질 때마다 누구보다 재빨리 현장에 도착하는 똥 탐정. 범인을 찾기 위해서라면 그 어떤 단서도 놓치지 않고 파헤칠 준비가 되어 있다.,정보 없음,전체 이용가,비어 있음
MBN[16],12:10:00,전현무계획 2,예능,버라이어티,100,"전현무와 출연자들이 전국 각지의 숨겨진 핫플레이스를 찾아 떠나는 로드 버라이어티 프로그램입니다. 맛집, 관광 명소, 지역 주민들과의 만남 등 다채로운 에피소드를 선보입니다.",정보 없음,12세 이상,"전현무, 곽튜브"
MBN[16],13:50:00,한일톱텐쇼,예능,음악예능,130,국내 최초! 국적 초월! 장르 불문!,https://image.tmdb.org/t/p/w500/h4zuDyyXW1vHPSFFhRxywKvjKLH.jpg,15세 이상,"강남, 강대성"
MBN[16],16:00:00,MBN뉴스와이드,보도,보도,110,MBN뉴스와이드,,전체 이용가,정보 없음
MBN[16],17:50:00,김명준의 뉴스파이터,보도,보도,70,김명준의 뉴스파이터,,전체 이용가,정보 없음
MBN[16],19:00:00,MBN뉴스 7,보도,보도,70,MBN뉴스 7,,전체 이용가,정보 없음
MBN[16],20:10:00,천기누설,예능,교양,60,"《천기누설》은 대한민국의 MBN의 교양 프로그램으로, 2012년 5월 19일부터 방영 중인 건강 정보 프로그램이다. 초기에는 미스터리 추적 프로그램이었으나, 이후 건강 정보 프로그램의 포맷으로 바뀌었다.",https://image.tmdb.org/t/p/w500/tigjm9nO0P09Z8qESD3l41Gpnwi.jpg,전체 이용가,"전현무, 곽준빈"
MBN[16],21:10:00,전현무계획 2,예능,여행,30,전현무와 곽준빈이 함께하는 교양 예능 프로그램.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20210513_284%2F1620877640900yAbQq_JPEG%2F57_670548_poster_image_1620877640836.jpg,15세 이상,"전현무, 곽준빈"
MBN[16],21:40:00,전현무계획 2,예능,여행,70,전현무와 곽준빈이 함께 떠나는 새로운 계획!,정보 없음,15세 이상,"전현무, 곽준빈"
MBN[16],22:50:00,나는 자연인이다,보도,보도,60,나는 자연인이다,,전체 이용가,정보 없음
