channel,airtime,title,genre,subgenre,runtime,description,thumbnail,age_rating,cast
OBS[26],00:00:00,리얼도전스토리 하이킥,보도,보도,30,리얼도전스토리 하이킥,,전체 이용가,정보 없음
OBS[26],00:30:00,오늘의 월드 뉴스,보도,보도,30,오늘의 월드 뉴스,,전체 이용가,정보 없음
OBS[26],01:00:00,주식학교,보도,보도,300,주식학교,,전체 이용가,정보 없음
OBS[26],06:00:00,휴먼다큐 시장 사람들,보도,보도,30,휴먼다큐 시장 사람들,,전체 이용가,정보 없음
OBS[26],06:30:00,요리조리 백세생활,보도,보도,20,요리조리 백세생활,,전체 이용가,정보 없음
OBS[26],06:50:00,역전의 부자농부,보도,보도,60,역전의 부자농부,,전체 이용가,정보 없음
OBS[26],07:50:00,오지 객,보도,보도,40,오지 객,,전체 이용가,정보 없음
OBS[26],08:30:00,BBC특별기획,보도,보도,60,BBC특별기획,,전체 이용가,정보 없음
OBS[26],09:30:00,헬로코리아,예능,여행,30,대한민국 곳곳을 누비며 펼쳐지는 다채로운 이야기들을 담은 프로그램. 각양각색의 출연진들이 함께하며 시청자들에게 즐거움과 유익함을 선사한다.,정보 없음,전체 이용가,"와이낫 시즌3, ONE DREAM.TXT, 김원희의 맞수다 2, 아이돌 투어, 별난 일 별난 세상"
OBS[26],10:00:00,생중계 김민석 국무총리 후보자 국회 인사청문회,보도,보도,120,생중계 김민석 국무총리 후보자 국회 인사청문회,,전체 이용가,정보 없음
OBS[26],12:00:00,전기현의 씨네뮤직,예능,음악예능,60,전기현이 진행하는 음악과 영화를 접목한 예능 프로그램.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20221109_211%2F1667960787730vbBbq_JPEG%2F57_668228_poster_image_1667960787712.jpg,전체 이용가,전기현
OBS[26],13:00:00,명물인생,보도,보도,30,명물인생,,전체 이용가,정보 없음
OBS[26],13:30:00,다 함께 국민체조,보도,보도,10,다 함께 국민체조,,전체 이용가,정보 없음
OBS[26],13:40:00,생명탐사 월드 내비게이터,보도,보도,20,생명탐사 월드 내비게이터,,전체 이용가,정보 없음
OBS[26],14:00:00,생중계 김민석 국무총리 후보자 국회 인사청문회,보도,보도,90,생중계 김민석 국무총리 후보자 국회 인사청문회,,전체 이용가,정보 없음
OBS[26],15:30:00,OBS뉴스,보도,보도,60,OBS뉴스,,전체 이용가,정보 없음
OBS[26],16:30:00,생방송 건강콜센터,보도,보도,60,생방송 건강콜센터,,전체 이용가,정보 없음
OBS[26],17:30:00,OBS뉴스경인 530,보도,보도,20,OBS뉴스경인 530,,전체 이용가,정보 없음
OBS[26],17:50:00,신계숙의 맛터사이클 다이어리,보도,보도,50,신계숙의 맛터사이클 다이어리,,전체 이용가,정보 없음
OBS[26],18:40:00,글로벌 아빠 찾아 삼만리,보도,보도,50,글로벌 아빠 찾아 삼만리,,전체 이용가,정보 없음
OBS[26],19:30:00,OBS뉴스 730,보도,보도,40,OBS뉴스 730,,전체 이용가,정보 없음
OBS[26],20:10:00,독특한 연예 뉴스,예능,토크쇼,20,연예계 소식을 다루는 프로그램으로 추정됩니다.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220725_35%2F1658737563893SG1rX_JPEG%2F57_662661_poster_image_1658737563882.jpg,15세 이상,"으라차차 전국탐험대 2, 2015 슈퍼모델 선발대회, OBS 일요시네마, 접속 2014, 위험한 동영상 SIGN"
OBS[26],20:30:00,오늘의 월드 뉴스,보도,보도,30,오늘의 월드 뉴스,,전체 이용가,정보 없음
OBS[26],21:00:00,호모 루덴스 놀이하는 인간,보도,보도,60,호모 루덴스 놀이하는 인간,,전체 이용가,정보 없음
OBS[26],22:00:00,OBS뉴스10 인천경기,보도,보도,30,OBS뉴스10 인천경기,,전체 이용가,정보 없음
OBS[26],22:30:00,니돈내산 독박투어,예능,버라이어티,80,"여행의 모든 과정을 '복불복 게임'을 통해 진행해, 출연자 사비로 결제하는 초유의 리얼리티 여행 예능 프로그램",https://image.tmdb.org/t/p/w500/msKgNBpXJLuM8pa6HSVyXUWJXJm.jpg,15세 이상,"김대희, 김준호, 장동민, 유세윤, 홍인규"
OBS[26],23:50:00,세계테마기행,예능,"여행, 다큐멘터리",60,"단순한 여행 정보 프로그램에서 벗어나, 자유로운 배낭여행자만이 느낄 수 있는 살아있는 체험기를 전하는 다큐멘터리 프로그램",https://image.tmdb.org/t/p/w500/pHC70ke34d0pEOdhcx8lnWhRtqk.jpg,전체 이용가,정보 없음
