channel,airtime,title,genre,subgenre,runtime,description,thumbnail,age_rating,cast
OCN Movies2[51],02:00:00,더 수어사이드 스쿼드,영화,"모험, 액션, 코미디",150,최고의 사망률을 자랑하는 벨 리브 교도소. 미국 정보국 월러 국장은 태스크 포스 X라는 극비 군사 작전팀을 꾸리기 위해 이곳에 왔다. 그녀는 수감 중인 슈퍼 빌런들을 팀에 합류시키기 위해 사면이나 감형을 조건으로 제시한다. 또한 만약을 대비해 언제라도 이들을 처형할 수 있게 머리에 폭탄도 심어놓는다. 우여곡절 끝에 완성된 팀은 두개로 나뉘어 남미의 작은 섬나라 코르토 몰티즈로 향한다. 이들의 임무는 이 섬에 위치한 요툰하임이라는 비밀 연구실에 잠입해 스타피쉬의 흔적을 없애는 것. 각기 다른 해안가에 도착한 두 팀은 상반된 상황을 맞이한다.,https://image.tmdb.org/t/p/w500/1FiLuxuowOusZAG1vvI4TorMuNG.jpg,19세 이상,"마고 로비, 이드리스 엘바, 존 시나, 조엘 킨나만, 실베스터 스탤론"
OCN Movies2[51],04:30:00,넘버 3,영화,"드라마, 액션, 코미디",120,"일류가 되고 싶어하는 삼류깡패 태주, 시인이 되고 싶어하는 태주의 아내 현지는 역시 삼류시인 랭보에게 강습을 받으러 갔다가 그와 관계를 가지게 되고, 랭보와의 섹스에 만족했던 현지는 그를 보스의 아내 지나에게 소개시키고 지나도 랭보에게 시 강습 핑계로 관계를 요구하게 된다. 한편 태주와 같은 아파트에 사는 검사 마동팔은 깡패 조직 도강파를 일망타진할 궁리를 하는데...",https://image.tmdb.org/t/p/w500/yDxubpEMPruzwgM940tRSeIDsot.jpg,19세 이상,"한석규, 최민식, 송강호, 이미연, 안석환"
OCN Movies2[51],06:30:00,두번할까요,영화,"로맨스, 코미디",140,"꿈꿔왔던 싱글라이프 현우. 쪽팔림을 무릅쓰고 감행했던 이혼식 후, 드디어 싱글라이프 입성! 꿈꿔왔던 자유를 되찾은 것도 잠시 엑스와이프 선영이 다시 돌아왔다. 게다가 옛 친구 상철까지 달고! 원치않던 싱글라이프 선영. 꼭 해야만했던 이혼식 후, 어쩌다 보니 싱글라이프 입성! 원수 같던 현우와 헤어지긴 했지만 그 없이는 어려운 일 투성이다. 그러던 어느 날, 모든 게 완벽한 상철이 나타났다! 끝내고픈 싱글라이프 상철. 이상형 선영과의 강렬한 만남 후, 잘만하면 싱글라이프 청산 가능! 얼굴, 능력 다 되지만 연애는 어떻게 하는 건지 도통 모르겠다. 별 수 없이 연애 상담을 위해 현우를 찾아가는데... 다시 얽혀버린 세 남녀의 출구 없는 싱글라이프가 펼쳐진다!",https://image.tmdb.org/t/p/w500/1X7WkzNWryM41IxAU7UwYaB8hiQ.jpg,15세 이상,"권상우, 이정현, 이종혁, 성동일, 정상훈"
OCN Movies2[51],08:50:00,7번방의 선물,영화,"드라마, 코미디",140,최악의 흉악범들이 모인 교도소 7번방에 이상한 놈이 들어왔다! 그는 바로 6살 지능의 딸바보 용구. 평생 죄만 짓고 살아온 7번방 패밀리들에게 떨어진 미션은 바로 용구 딸 예승이를 외부인 절대 출입금지인 교도소에 반.입.하.는.것! 웃음과 감동 가득한 사상초유의 합동작전이 시작된다!,https://image.tmdb.org/t/p/w500/c9TqJPm4pZCuiEXumTayoNIrBSK.jpg,15세 이상,"류승룡, 박신혜, 갈소원, 정진영, 오달수"
OCN Movies2[51],11:10:00,삼생삼세 십리도화,드라마,"중국드라마, 로맨스, 판타지, 사극_시대극",60,"세 번의 생을 겪으며 세 종류의 세상을 만났다. 그러나 내가 줄곧 원했던 건 오직 한 사람. 이번 생에 안 되면 또 다음 생에 만납시다. 영겁의 세월을 떠도는 것이 우리 운명일지라도, 이 손 놓지 마오 이 사랑만은 잊지 마오.",https://image.tmdb.org/t/p/w500/vnB8Wexv2HHO5wbbZ6AGt8vpZpk.jpg,15세 이상,"양미, 조우정, 장지요, 딜러바 딜무라트, 고위광"
OCN Movies2[51],12:10:00,삼생삼세 십리도화,드라마,"중국드라마, 로맨스, 판타지, 사극_시대극",60,"세 번의 생을 겪으며 세 종류의 세상을 만났다. 그러나 내가 줄곧 원했던 건 오직 한 사람. 이번 생에 안 되면 또 다음 생에 만납시다. 영겁의 세월을 떠도는 것이 우리 운명일지라도, 이 손 놓지 마오 이 사랑만은 잊지 마오.",https://image.tmdb.org/t/p/w500/vnB8Wexv2HHO5wbbZ6AGt8vpZpk.jpg,15세 이상,"양미, 조우정, 장지요, 딜러바 딜무라트, 고위광"
OCN Movies2[51],13:10:00,삼생삼세 십리도화,드라마,"중국드라마, 로맨스, 판타지, 사극_시대극",60,"세 번의 생을 겪으며 세 종류의 세상을 만났다. 그러나 내가 줄곧 원했던 건 오직 한 사람. 이번 생에 안 되면 또 다음 생에 만납시다. 영겁의 세월을 떠도는 것이 우리 운명일지라도, 이 손 놓지 마오 이 사랑만은 잊지 마오.",https://image.tmdb.org/t/p/w500/vnB8Wexv2HHO5wbbZ6AGt8vpZpk.jpg,15세 이상,"양미, 조우정, 장지요, 딜러바 딜무라트, 고위광"
OCN Movies2[51],14:10:00,날씨의 아이,영화,"드라마, 애니메이션, 판타지, 로맨스",130,"고등학교 1학년 여름. 외딴 섬에서 가출해, 도쿄에 온 호타카. 그러나 생활은 곧 곤란해졌고, 고독한 나날의 끝에 겨우 찾아낸 일은, 수상한 오컬트 잡지의 작가 일이었다. 그의 앞날을 시사하는 듯, 연일 쏟아지는 비. 그런 가운데, 잡담으로 북적거리는 도시 한 편에서, 호타카는 한 소녀를 만난다. 어떤 사연을 안고, 남동생과 둘이서 밝고 씩씩하게 사는 소녀, 하루나. 그녀에게는, 이상한 능력이 있었다. ""저기, 지금부터 맑아질 거야."" 조금씩 비가 그치고, 아름답게 빛나는 거리. 그것은 기도하는 것만으로, 하늘을 맑게 하는 힘이었다.",https://image.tmdb.org/t/p/w500/t6r33klGbbZZjbEkHqsfZ9yahRy.jpg,15세 이상,"고타로 다이고, 나나 모리, 츠바사 혼다, 사쿠라 키류, 세이 히라즈미"
OCN Movies2[51],16:20:00,무방비 도시,영화,"드라마, 액션",140,"제2차 세계대전 말기 로마가 독일에 의해 점령되었던 시기에 실제로 일어났던 사건에서 소재를 취해 재구성한 영화. 연인의 밀고로 체포되어 사살된 레지스탕스 지도자, 레지스탕스를 돕다가 처형된 신부, 게슈타포에 끌려가는 애인을 향해 달려가다 총에 맞아 죽은 여인의 이야기 등이 엮여있다.",https://image.tmdb.org/t/p/w500/r8Xg0Tcfsc9iouuXXJASgrJ0qUp.jpg,15세 이상,"알도 파브리치, 마르첼로 파리에로, 해리 페이스트, 안나 마냐니, 마리아 미키"
OCN Movies2[51],18:40:00,광해 왕이 된 남자,영화,드라마,140,"권력 다툼과 당쟁으로 혼란이 극에 달한 광해군 8년. 자신의 목숨을 노리는 자들에 대한 분노와 두려움으로 점점 난폭해져 가던 왕 광해는 도승지 허균에게 자신을 대신할 대역을 찾을 것을 지시한다. 허균은 기방의 취객들 사이에 걸쭉한 만담으로 인기를 끌던 하선을 발견한다. 왕과 똑같은 외모는 물론 타고난 재주와 말솜씨로 왕의 흉내도 완벽하게 내는 하선. 영문도 모른 채 궁에 끌려간 하선은 가슴을 조이며 왕의 대역을 하게 된다. 어느 날 광해군이 갑자기 의식을 잃고 쓰러지는 사건이 발생하고, 허균은 광해군이 치료를 받는 동안 하선에게 광해군을 대신하여 왕의 대역을 할 것을 명하는데...",https://image.tmdb.org/t/p/w500/6Pg5AwsJUqeGanGOWcaljQXGe5g.jpg,15세 이상,"이병헌, 류승룡, 한효주, 김인권, 장광"
