channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
OCN[44],01:40:00,황해,,영화,"드라마, 스릴러",170,"연변에서 택시를 모는 구남은 빚더미에 쌓여 구질구질한 일상을 살아간다. 한국으로 돈 벌러 간 아내는 6개월째 소식이 없고, 돈을 불리기 위해 마작판에 드나들지만 항상 잃을 뿐이다. 어느 날 살인청부업자 면가에게서 한국 가서 사람 한 명 죽이고 오라는 제안을 받는다. 절박한 현실에서 선택의 여지가 없는 구남은 빚을 갚기 위해, 그리고 아내를 만나기 위해 황해를 건넌다. 매서운 바다를 건너 서울로 온 구남은 틈틈이 살인의 기회를 노리면서 동시에 아내의 행방을 수소문하지만, 자신의 눈 앞에서 목표물이 살해 당하는 것을 목격한 구남은 누명을 쓴 채 경찰의 추적을 피해 도망 친다.",https://image.tmdb.org/t/p/w500/rnwwIy4hBvYaZIbS3AYGZoS6wyP.jpg,19세 이상,"하정우, 김윤석, 조성하, 이철민, 곽도원"
OCN[44],04:30:00,용루각 비정도시,,영화,액션,110,겉으로보기엔 평범한 중국집이지만 실제로는 법이 심판하지 못한 사건들에 대해 정의의 판결을 내리는 자경단의 이야기를 다룬 액션 느와르.,https://image.tmdb.org/t/p/w500/7yTtDYq2DgEmGU4manGTViyoEB5.jpg,19세 이상,"지일주, 박정화, 배홍석, 장의수, 정의욱"
OCN[44],06:20:00,부기나이트,,영화,"액션, 드라마, 코미디, 스릴러",90,"북한의 핵폭탄 선전포고로 아수라장이 되어버린 세상, 몇 시간 전까지만 해도 지루하고 평범한 일상을 살던 유빈은 인생에 마지막이 될 하루를 즐기기 위해 친구들과 함께 나이트클럽으로 향한다. 남자 화장실에서 만난 연주부터 큰돈을 만지게 해 준다는 술집 마담, 나이트클럽에서 만난 경아, 경아 대신 약속 장소로 나온 유라, 그리고 뜻밖의 장소에서 우연히 만난 첫사랑 수경까지 살아생전 데이트 한 번 못해본 유빈은 살아있는 하룻밤 동안 다섯 여자가 줄줄이 꼬이기 시작하면서 예기치 못한 사건 사고들이 벌어지기 시작하는데…",https://image.tmdb.org/t/p/w500/e87mnR1R74nXnMrJVXnr8jdJnaF.jpg,15세 이상,"최귀화, 이시원, 박환희, 김희정, 장혜원"
OCN[44],07:50:00,쇼 미 더 고스트,,영화,코미디,100,유령이 출몰하는 오피스텔에 사는 취준생들이 겪는 기상천외한 경험을 다룬 공포 코미디 영화입니다.,https://file.mk.co.kr/mk_star_thumb_img/2021/10/202110141655070010_687_2.jpg,12세 이상,"한승연, 김현목, 홍승희"
OCN[44],09:30:00,원더우먼,,영화,"로맨스, 드라마",160,"하버드 대 심리학 교수이기도 한 마스턴이 부인과 연인이었던 올리브 번을 동시에 사랑하면서,이 두사람의 심리에 기초해 원더 우먼을 세상에 내놓습니다. 그러나 잦은 폭력과 성적 묘사로 인해 성도착증 의심까지 받으면서 온갖 논란에 휩싸이는데...",https://image.tmdb.org/t/p/w500/tbrzHlnE8dNpllLWEe9bwDGNzLe.jpg,19세 이상,"김민준, 김서연, 박채원, 이은영, 김준호"
OCN[44],12:10:00,아쿠아맨,,영화,"액션, 모험, 판타지",170,"정략결혼을 피해 해저 왕국 아틀란티스에서 도망쳐 육지로 오게 된 아틀라나는 등대지기 톰과 사랑에 빠진다. 아틀란티스의 세력으로부터 남편과 아들 아서를 지키기 위해서 아틀라나는 바다로 돌아가고, 육지에 남은 아서는 어릴 때부터 자신의 초능력을 인지해 인간세계의 해적을 물리치는 등 나름의 활약을 펼친다. 한편 아서의 이부형제 옴은 육지를 정복하기 위한 작전을 세운다. 옴의 약혼자이자 네레우스 왕의 딸 메라는 아서에게 평화를 위해 해저 7개 왕국의 왕이 되어야만 한다고 설득하는데...",https://image.tmdb.org/t/p/w500/5tetypC0S7BwpBk1ZG36wExvNYj.jpg,12세 이상,"제이슨 모모아, 앰버 허드, 윌렘 대포, 패트릭 윌슨, 니콜 키드먼"
OCN[44],15:00:00,맨 오브 스틸,,영화,"모험, SF, 액션",150,"무리한 자원 채취로 크립톤 행성의 종말이 다가오자 조드 장군은 반란을 일으켜 자신들만의 왕국을 건설하려 한다. 이에 반대한 조엘은 크립톤인의 유전자 정보가 담긴 코덱스를 빼돌려 이를 갓 태어난 자신의 아들 칼엘과 함께 지구로 보내고, 반란에 실패한 조드 장군은 감옥에 갇힌다. 지구에 도착한 칼엘은 뒤늦게 자신의 정체를 알아내지만 감옥에서 탈출한 조드 장군의 공격을 받는다. 조드 장군은 코덱스를 되찾아 지구에 새로운 왕국을 건설하려 하고클라크 켄트는 자신을 그토록 괴롭혔던 지구인을 지키기 위해 조드 장군과 전면 승부를 벌인다.",https://image.tmdb.org/t/p/w500/8Qx9fp2lZJU4v67jks6MmOMBCQg.jpg,12세 이상,"김현우, 이수민, 강민호, 최민철, 정건우"
OCN[44],17:30:00,블랙 아담,,영화,"액션, SF, 모험",130,"기원전 가장 번성하고 위대한 고대 국가였지만 현재는 국제 군사 조직 인터갱의 독재 국가로 전락한 칸다크. 인터갱의 눈을 피해 고대 유물을 찾던 아드리아나는 우연히 5000년 동안 잠들어 있던 블랙 아담을 깨우게 된다. 엄청난 괴력과 스피드, 방탄 능력과 자유자재의 고공비행, 번개를 쏘는 능력까지. 온몸이 무기인 블랙 아담은 자신의 앞을 막아서는 인터갱들을 모조리 쓸어버리고 칸다크 국민들은 이에 열광한다. 한편, 그의 폭주를 막기 위해 호크맨, 닥터 페이트, 아톰 스매셔, 사이클론으로 구성된 히어로 군단 저스티스 소사이어티가 칸다크에 나타나는데...",https://image.tmdb.org/t/p/w500/mEdMHGy1FfCUc7PskFO0tibm8jp.jpg,12세 이상,"전 대원, 윤 하준, 신 노아, 서 사라, 신 태희"
OCN[44],19:40:00,저스티스 리그,,영화,"액션, SF, 모험",140,"인류의 수호자인 슈퍼맨이 사라진 틈을 노리고 ‘마더박스’를 차지하기 위해 빌런 스테픈울프가 악마군단을 이끌고 지구에 온다. 마더박스는 시간과 공간, 에너지, 중력을 통제하는 범우주적인 능력으로 행성의 파괴마저도 초래하는 물체로 이 강력한 힘을 통제하기 위해 고대부터 총 3개로 분리되어 보관되고 있던 것. 인류에 대한 믿음을 되찾고 슈퍼맨의 희생 정신에 마음이 움직인 브루스 웨인은 새로운 동료인 다이애나 프린스에게 도움을 청해 이 거대한 적에 맞서기로 한다. 배트맨과 원더 우먼은 새로이 등장한 위협에 맞서기 위해 아쿠아맨, 사이보그, 플래시를 찾아 신속히 팀을 꾸린다. 이들 슈퍼히어로 완전체는 스테픈울프로부터 마더박스를 지키기 위해 지구의 운명을 건 전투를 벌인다!",https://image.tmdb.org/t/p/w500/m4Zlx3sE8BNenwgWMRC995pQYub.jpg,12세 이상,"백준영, 한진우, 임아연, 강지민, 이민우"
OCN[44],22:00:00,더 수어사이드 스쿼드,,영화,"모험, 코미디, 액션",60,최고의 사망률을 자랑하는 벨 리브 교도소. 미국 정보국 월러 국장은 태스크 포스 X라는 극비 군사 작전팀을 꾸리기 위해 이곳에 왔다. 그녀는 수감 중인 슈퍼 빌런들을 팀에 합류시키기 위해 사면이나 감형을 조건으로 제시한다. 또한 만약을 대비해 언제라도 이들을 처형할 수 있게 머리에 폭탄도 심어놓는다. 우여곡절 끝에 완성된 팀은 두개로 나뉘어 남미의 작은 섬나라 코르토 몰티즈로 향한다. 이들의 임무는 이 섬에 위치한 요툰하임이라는 비밀 연구실에 잠입해 스타피쉬의 흔적을 없애는 것. 각기 다른 해안가에 도착한 두 팀은 상반된 상황을 맞이한다.,https://image.tmdb.org/t/p/w500/1FiLuxuowOusZAG1vvI4TorMuNG.jpg,19세 이상,"마고 로비, 이드리스 엘바, 존 시나, 조엘 킨나만, 실베스터 스탤론"
