channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
SBS[5],00:30:00,꼬리에 꼬리를 무는 그날 이야기,,예능,교양,90,"‘너’ 에게 꼭 들려주고 싶어! 친구, 배우자, 동료... 세 명의 '이야기꾼'이 스스로 공부하며 느낀 바를 각자의 '이야기 친구'(가장 가까운 지인)에게, 가장 일상적인 공간에서 1:1 로 전달하는 방식의 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20211006_90%2F1633510000206os2wL_JPEG%2Fc46a5aaf494584fc76c6fd1424799248.jpg,15세 이상,"장도연, 장현성, 장성규"
SBS[5],02:00:00,문화가중계,,보도,보도,60,문화가중계,,전체 이용가,정보 없음
SBS[5],03:00:00,꾸러기 탐구생활,,보도,보도,30,꾸러기 탐구생활,,전체 이용가,정보 없음
SBS[5],03:30:00,꾸러기 탐구생활,,보도,보도,30,꾸러기 탐구생활,,전체 이용가,정보 없음
SBS[5],04:00:00,방송 시간이 아닙니다,,보도,보도,60,방송 시간이 아닙니다,,전체 이용가,정보 없음
SBS[5],05:00:00,사피엔스 클럽,,예능,교양,60,"당신의 몸을 깨우는 지식 토크! 의학, 과학, 인문학 등 각 분야 최고 전문가들이 뭉쳤다! 인류의 역사를 뒤흔든 질병의 숨겨진 이야기, 예술 작품 속에 녹아든 인체의 신비한 비밀, 그리고 시대에 따라 변화하는 의학 정보와 건강에 대한 인식까지. 지금껏 몰랐던 당신의 몸, 새로운 시각으로 깨워드립니다! 몸은 건강, 머리는 똑똑해지는 건강+인문학 토크쇼. 아는 만큼 힘이 되는 건강인문학 연금술이 공개됩니다!",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250430_131%2F1745991305481VNC5T_JPEG%2Ff47283f8c9235a1d36011ceb67584e40.jpg,12세 이상,"이장원, 안현모"
SBS[5],06:00:00,SBS뉴스,,보도,보도,10,SBS뉴스,,전체 이용가,정보 없음
SBS[5],06:10:00,오늘부터 인생 2막,,예능,교양,60,"‘어제의 아픈 나’와 작별하고 <오늘부터 인생 2막>을 시작한 사람들의 미라클 스토리 10년 더 젊어진다 10년 더 건강해진다 따라 하면 누구나 오늘부터, 인생 2막 스타트!",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250602_64%2F1748825761472mOPnq_JPEG%2Fc9a4299ef0b748546dc77024e1fa3eb3.jpg,12세 이상,"유선, 김윤상"
SBS[5],07:10:00,미니미니 미니니,,애니,키즈,15,미니미니 삼총사의 신나는 모험을 그린 유쾌한 애니메이션.,정보 없음,전체 이용가,정보 없음
SBS[5],07:25:00,헬로카봇 용사,,애니,키즈,15,정의로운 카봇들이 등장하여 악당들과 맞서 싸우는 이야기를 그린 어린이 애니메이션입니다.,정보 없음,전체 이용가,정보 없음
SBS[5],07:40:00,일요특선 다큐멘터리,,보도,보도,55,일요특선 다큐멘터리,,전체 이용가,정보 없음
SBS[5],08:35:00,세 개의 시선,,보도,보도,55,세 개의 시선,,전체 이용가,정보 없음
SBS[5],09:30:00,TV동물농장,1228회,예능,"교양, 애니멀",85,"야생의 자연을 누비는, 혹은 우리 곁에서 함께 호흡하며 살아가는 수십만 종의 동물들! 인간과 밀접한 생활을 나누는 이들을 우리는 얼마나 진심으로 이해하고 있는가? 본 기획에서는 인간 중심의 사회에서 벗어나, 인간과 동물 그 진정한 커뮤니케이션을 추구하는 동물 전문 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20230804_21%2F1691125976332Lanu3_JPEG%2F7163d47e94091a4c04b6b7d9f03ed2e2.jpg,전체 이용가,"신동엽, 정선희, 토니안, 조이"
SBS[5],10:55:00,사계의 봄,9회,드라마,코미디,80,"K-팝 최고 밴드그룹 톱스타 사계가 어쩔 수 없이 다니게 된 대학 캠퍼스에서 좌충우돌 대학 생활을 겪으며 4인조 혼성밴드를 결성, 뜨겁게 사랑하고 음악을 통해 성장하는 이야기",https://image.tmdb.org/t/p/w500/fVTyvUVGWAEmONn6cWZZzRnvNTs.jpg,15세 이상,"하유준, 박지후, 이승협, 조한철, 김종태"
SBS[5],12:15:00,SBS뉴스,,보도,보도,10,SBS뉴스,,전체 이용가,정보 없음
SBS[5],12:25:00,우리 영화,5회,드라마,휴먼,75,소포모어 징크스에 자신을 옭아맨 채로 다음이 없이 살아가는 영화감독과 생의 끝에 다다라서야 비로소 인생의 주연으로 살아보려는 시한부 배우의 이야기,https://image.tmdb.org/t/p/w500/aXsgj6xhCkdvb10gwX4uiMo13SN.jpg,15세 이상,"남궁민, 전여빈, 서현우, 이설, 서이서"
SBS[5],13:40:00,우리 영화,6회,드라마,휴먼,80,소포모어 징크스에 자신을 옭아맨 채로 다음이 없이 살아가는 영화감독과 생의 끝에 다다라서야 비로소 인생의 주연으로 살아보려는 시한부 배우의 이야기,https://image.tmdb.org/t/p/w500/aXsgj6xhCkdvb10gwX4uiMo13SN.jpg,15세 이상,"남궁민, 전여빈, 서현우, 이설, 서이서"
SBS[5],15:00:00,SBS뉴스,,보도,보도,10,SBS뉴스,,전체 이용가,정보 없음
SBS[5],15:10:00,SBS인기가요,,예능,음악예능,80,매주 인기 있는 K-POP 가수들의 무대를 만나볼 수 있는 SBS의 음악 프로그램,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240503_264%2F1714696628652tvXUj_JPEG%2F595d24f264af1a776159e4072f87c862.jpg,전체 이용가,"문성현, 이서, 한유진"
SBS[5],16:30:00,미운 우리 새끼,,예능,"버라이어티, 토크쇼",100,"* 당신은 아들에 대해 얼마나 알고 있습니까? 오늘 내 아들이 누구를 만나서 어떤 이야기를 들었는지... 왜 오늘따라 얼굴이 어두워 보이는지, 혹은 왜 이렇게 들떠 보이는지~ 식탐은 갑자기 왜 이렇게 늘어난거며, 쉬는 날은 왜 이렇게 잠만 자는 건지... 당신은.. 당신의 아들에 대해 얼마나 알고 있습니까? * 엄마의 다시 쓰는 육아일기!",https://image.tmdb.org/t/p/w500/5FQzjkx3zxxHNTzOqw9qMweQ4rd.jpg,15세 이상,"신동엽, 서장훈"
