channel,airtime,title,genre,subgenre,runtime,description,thumbnail,age_rating,cast
SBS플러스[33],00:10:00,우리영화,드라마,휴먼,85,소포모어 징크스에 자신을 옭아맨 채로 다음이 없이 살아가는 영화감독과 생의 끝에 다다라서야 비로소 인생의 주연으로 살아보려는 시한부 배우의 이야기,https://image.tmdb.org/t/p/w500/aXsgj6xhCkdvb10gwX4uiMo13SN.jpg,15세 이상,"남궁민, 전여빈, 서현우, 이설, 서이서"
SBS플러스[33],01:35:00,런닝맨,예능,코미디,104,"대한민국 최고의 연예인들이 곳곳에 있는 미션을 해결하고, 끊임없는 질주와 긴박감 넘치는 대결을 통해 대한민국 랜드마크들의 숨겨진 뒷모습을 전격 공개하는 프로그램",https://image.tmdb.org/t/p/w500/15SMnscZqd7HZ0bzruatOcKUlOV.jpg,15세 이상,"유재석, 지석진, 김종국, 강 Gary, Haha"
SBS플러스[33],03:19:00,TV동물농장,보도,보도,44,TV동물농장,정보 없음,전체 이용가,"신동엽, 정선희, 토니안, 조이"
SBS플러스[33],04:03:00,먹고 보는 형제들,예능,버라이어티,71,"먹방 역사의 한 획을 그었던 ‘그 녀석들’ 김준현X문세윤이 다시 뭉친다! 주어진 것은 오로지 여행 기간 뿐 여행지부터 계획, 촬영, 섭외까지 다 먹보들의 몫! 먹고, 보고, 즐기는 먹 보 형제 김준현x문세윤의 리얼 해외 먹방 여행기!",https://image.tmdb.org/t/p/w500/tBWn5bAG2Nq009OErJu3Dmp7w8U.jpg,15세 이상,"신동엽, 정선희, 토니안, 조이"
SBS플러스[33],05:14:00,우리영화,드라마,휴먼,78,소포모어 징크스에 자신을 옭아맨 채로 다음이 없이 살아가는 영화감독과 생의 끝에 다다라서야 비로소 인생의 주연으로 살아보려는 시한부 배우의 이야기,https://image.tmdb.org/t/p/w500/aXsgj6xhCkdvb10gwX4uiMo13SN.jpg,15세 이상,"남궁민, 전여빈, 서현우, 이설, 서이서"
SBS플러스[33],06:32:00,우리영화,드라마,휴먼,85,소포모어 징크스에 자신을 옭아맨 채로 다음이 없이 살아가는 영화감독과 생의 끝에 다다라서야 비로소 인생의 주연으로 살아보려는 시한부 배우의 이야기,https://image.tmdb.org/t/p/w500/aXsgj6xhCkdvb10gwX4uiMo13SN.jpg,15세 이상,"남궁민, 전여빈, 서현우, 이설, 서이서"
SBS플러스[33],07:57:00,미운 우리 새끼,예능,"버라이어티, 토크쇼",130,"* 당신은 아들에 대해 얼마나 알고 있습니까? 오늘 내 아들이 누구를 만나서 어떤 이야기를 들었는지... 왜 오늘따라 얼굴이 어두워 보이는지, 혹은 왜 이렇게 들떠 보이는지~ 식탐은 갑자기 왜 이렇게 늘어난거며, 쉬는 날은 왜 이렇게 잠만 자는 건지... 당신은.. 당신의 아들에 대해 얼마나 알고 있습니까? * 엄마의 다시 쓰는 육아일기!",https://image.tmdb.org/t/p/w500/5FQzjkx3zxxHNTzOqw9qMweQ4rd.jpg,15세 이상,"신동엽, 서장훈"
SBS플러스[33],10:07:00,동상이몽2 너는 내 운명,예능,버라이어티,121,"한 지붕 아래, 두 마음 속 이야기를 시원하게 풀어보자! 각자의 입장에서 바라본 두 개의 세상은 어떤 모습일까? 누구보다 서로를 이해하고 싶은 사람들의 가장 포근한 리얼 스킨쉽! 털어놓고 공감하는 전 세대 공감 프로젝트! 다양한 분야의 커플들이 알콩달콩 살아가는 모습을 '남자'와 '여자' 입장에서 바라보고, 운명의 반쪽을 만난다는 것의 의미와 두 사람이 함께 사는 것의 가치를 살펴보는 프로그램",https://image.tmdb.org/t/p/w500/rFElUD9KdeRL9bu89wGG3Vm6Mud.jpg,12세 이상,"김구라, 서장훈, 김숙"
SBS플러스[33],12:08:00,미운 우리 새끼,예능,"버라이어티, 토크쇼",131,"* 당신은 아들에 대해 얼마나 알고 있습니까? 오늘 내 아들이 누구를 만나서 어떤 이야기를 들었는지... 왜 오늘따라 얼굴이 어두워 보이는지, 혹은 왜 이렇게 들떠 보이는지~ 식탐은 갑자기 왜 이렇게 늘어난거며, 쉬는 날은 왜 이렇게 잠만 자는 건지... 당신은.. 당신의 아들에 대해 얼마나 알고 있습니까? * 엄마의 다시 쓰는 육아일기!",https://image.tmdb.org/t/p/w500/5FQzjkx3zxxHNTzOqw9qMweQ4rd.jpg,15세 이상,"신동엽, 서장훈"
SBS플러스[33],14:19:00,우리영화,드라마,휴먼,90,소포모어 징크스에 자신을 옭아맨 채로 다음이 없이 살아가는 영화감독과 생의 끝에 다다라서야 비로소 인생의 주연으로 살아보려는 시한부 배우의 이야기,https://image.tmdb.org/t/p/w500/aXsgj6xhCkdvb10gwX4uiMo13SN.jpg,15세 이상,"남궁민, 전여빈, 서현우, 이설, 서이서"
