channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
TV조선[19],00:00:00,역전의 한방,123회,예능,교양,50,드라마보다 더 드라마 같은 반전 인생 추적 스토리 프로그램,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220823_274%2F1661218597353vMBf0_JPEG%2F57_poster_image_1661218597296.jpg,12세 이상,정보 없음
TV조선[19],00:50:00,중증건강센터,3회,예능,교양,50,"국민 성우 안지환과 원조 한류 스타 배우 장서희 그리고 활력 있는 트롯 스타 천록담, 나상도가 펼치는 신개념 건강 정보쇼 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250604_25%2F1749002713988qdUHb_JPEG%2F57_poster_image_1749002713972.jpg,15세 이상,"장서희, 안지환, 천록담, 나상도"
TV조선[19],01:40:00,나누는 행복 희망플러스,10회,예능,교양,60,사라져가는 지구촌 아이들의 희망을 지키기 위한 여정을 다루는 프로그램,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20241015_156%2F1728949016805kjuvT_JPEG%2F57_31278101_poster_image_1728949016788.jpg,전체 이용가,"박지현, 진해성"
TV조선[19],02:40:00,엄마의 봄날,511회,예능,교양,60,"가족을 위해서라면 본인의 삶은 제쳐놓았던 엄마. 엄마라는 이름으로 한평생 헌신하고 남은 건 온몸의 통증뿐. 마음은 청춘이지만 몸은 청춘이지 못한 엄마를 위해 그들이 뭉쳤다. 오직, <엄마의 봄날> 재능기부 프로젝트",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250227_71%2F1740626260333qVjEe_JPEG%2F57_2702924_poster_image_1740626260326.jpg,전체 이용가,신규철
TV조선[19],03:40:00,이스라엘vs팔레스타인 끝나지 않는 전쟁,1회,보도,보도,60,이스라엘과 팔레스타인 간의 복잡하고 오래된 분쟁의 역사와 현재 상황을 심층적으로 다루는 보도 프로그램입니다. 끝나지 않는 갈등의 원인과 결과를 분석하고 국제 사회에 미치는 영향 등을 조명합니다.,정보 없음,15세 이상,정보 없음
TV조선[19],04:40:00,TV CHOSUN재난특집,,보도,보도,20,TV CHOSUN재난특집,정보 없음,전체 이용가,정보 없음
TV조선[19],05:00:00,장수상회,,예능,교양,60,세상 속에서 건강 정보를 찾고 사람 사는 이야기를 보여주는 프로그램,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220523_241%2F1653272799165uHWVF_JPEG%2F57_poster_image_1653272799077.jpg,15세 이상,최윤영
TV조선[19],06:00:00,건강한 집 2,,예능,"교양, 관찰리얼리티",60,스타의 일상 속에서 포착된 특별한 건강 비법을 알아보는 프로그램,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250513_197%2F1747099351375B9saL_JPEG%2F57_33572895_poster_image_1747099351368.jpg,15세 이상,"유정현, 김지영, 최재원"
TV조선[19],07:00:00,린다의 신기한 여행 2,,애니,키즈,30,린다와 친구들이 떠나는 신나는 모험을 그린 애니메이션 시리즈입니다.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20221219_221%2F1671434916751rL5mw_JPEG%2F57_poster_image_1671434916688.jpg,전체 이용가,"린다, 루이, 빅터, 미나, 에드워드"
TV조선[19],07:30:00,뉴스 퍼레이드,,보도,보도,70,뉴스 퍼레이드,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250410_103%2F17442490918939b4jx_JPEG%2F57_6062576_poster_image_1744249091877.jpg,전체 이용가,"류주현, 황병준"
