channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
tvN[3],01:00:00,LIVE WIRE,4회,예능,토크쇼,100,음악에 진심인 자들의 라이브 무대와 음악 뒷 이야기 뮤직 커넥팅 존 LIVE WIRE,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250605_285%2F1749092296026KmItA_PNG%2F75e46c55b53a011cd58aaef8135667d7.png,15세 이상,"정재형, 코드 쿤스트"
tvN[3],02:40:00,유 퀴즈 온 더 블럭,301회,예능,코미디,140,유재석X조세호가 일상 속 숨어있는 퀴즈왕을 찾아다니는 유쾌한 길거리 퀴즈쇼! 너는 풀어라! 나는 쏠테니! 큰 자기 유재석과 아기자기 조세호의 자기들 마음대로 떠나는 사람 여행!,https://image.tmdb.org/t/p/w500/5f8D1mbheWz1sEOOzitkTa1zEy.jpg,12세 이상,"유재석, 조세호"
tvN[3],05:00:00,언니네 산지직송2 맛있게 먹었 수다,,예능,쿡방_먹방,60,"역대급 일거리와 맛깔나는 제철 식재료로 돌아온 <언니네 산지직송> 두 번째 계절! 염정아, 박준면, 임지연, 이재욱이 푸르른 어촌에서 선보이는 사 남매의 제철 밥상!",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250318_64%2F1742266218944b6iJh_JPEG%2F3881a4c90441b34c4b68d7a34702ac49.jpg,15세 이상,"염정아, 박준면, 임지연, 이재욱"
tvN[3],06:00:00,70억의 선택,160회,예능,교양,60,70억 세계인의 건강 비법을 공유하는 시간 세계인이 보내는 건강 시그널!,https://image.tmdb.org/t/p/w500/moO6ImG0Wjsg0vucv9crIm1wWuC.jpg,15세 이상,"강수정, 황제성, 럭키, 글라디스, 비다"
tvN[3],07:00:00,언니네 산지직송2 맛있게 먹었 수다,,예능,쿡방_먹방,20,"역대급 일거리와 맛깔나는 제철 식재료로 돌아온 <언니네 산지직송> 두 번째 계절! 염정아, 박준면, 임지연, 이재욱이 푸르른 어촌에서 선보이는 사 남매의 제철 밥상!",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250318_64%2F1742266218944b6iJh_JPEG%2F3881a4c90441b34c4b68d7a34702ac49.jpg,15세 이상,"염정아, 박준면, 임지연, 이재욱"
tvN[3],07:20:00,슈퍼푸드의 힘,177회,예능,교양,60,"100세를 넘기는 장수 인류 센테네리언! 지금은 평균 기대수명 100세 시대, 인류의 수명을 끌어올린 생명 연장의 원동력을 찾아서 당신의 몸 속 장수 세포를 깨울 세계 각국 무병장수 건강법! 그 속에 감춰진 놀라운 슈퍼푸드의 힘을 만나본다",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20230102_293%2F1672634427490ltwdy_JPEG%2Fa45094e745232a0c04ddb8565503f28b.jpg,12세 이상,임호
tvN[3],08:20:00,너의 몸소리가 들려,19회,예능,"교양, 토크쇼",70,몸소리텔러(질병을 극복한 경험자)들의 이야기를 강연 형식으로 들어보고 다양한 분야의 건강 잡썰가들과 함께 토론하는 신개념 건강 지식 토크쇼,https://file.kinolights.com/xl/content_poster/202410/09/0f7ee399-febf-4ded-94e5-98a3eb47d004.webp,12세 이상,"이승연, 이독실, 김경필, 썬킴"
tvN[3],09:30:00,유 퀴즈 온 더 블럭,,예능,코미디,20,유재석X조세호가 일상 속 숨어있는 퀴즈왕을 찾아다니는 유쾌한 길거리 퀴즈쇼! 너는 풀어라! 나는 쏠테니! 큰 자기 유재석과 아기자기 조세호의 자기들 마음대로 떠나는 사람 여행!,https://image.tmdb.org/t/p/w500/5f8D1mbheWz1sEOOzitkTa1zEy.jpg,12세 이상,"유재석, 조세호"
tvN[3],09:50:00,무쇠소녀단2,1회,예능,스포츠예능,120,각 분야에서 활약하는 출연진이 뭉쳐 강인한 정신과 체력을 바탕으로 예측 불가능한 도전을 펼치는 리얼리티 예능 프로그램입니다.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250610_53%2F1749519756220TP8mF_JPEG%2F06a9d36ec8fa1eb99e3deb71c4b6facf.jpg,12세 이상,"유이, 금새록, 박주현, 설인아, 김동현"
tvN[3],11:50:00,서초동,3회,드라마,"법정, 오피스 드라마, 청춘",100,매일 서초동 법조타운으로 출근하는 ‘직장인’ 어쏘 변호사들의 유쾌하고 뜨거운 청춘 드라마,https://image.tmdb.org/t/p/w500/lrhbbIlRsRAY11qHQ366VKht6lv.jpg,15세 이상,"이종석, 문가영, 강유석, 류혜영, 임성재"
