channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
드라마큐브[71],00:40:00,용감한 형사들4,30회,예능,다큐멘터리,80,대한민국을 충격에 빠뜨린 강력 사건들을 형사들의 생생한 증언과 함께 재구성하여 보여주는 프로그램.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220928_109%2F1664324079998k60Is_JPEG%2Ff506114e0142f0e5fab8dc3d2adbd0d4.jpg,15세 이상,"안정환, 김선영, 이이경, 권일용, 윤외출, 김진수"
드라마큐브[71],02:00:00,용감한 형사들4,8회,예능,다큐멘터리,45,대한민국을 충격에 빠뜨린 강력 사건들을 형사들의 생생한 증언과 함께 재구성하여 보여주는 프로그램.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220928_109%2F1664324079998k60Is_JPEG%2Ff506114e0142f0e5fab8dc3d2adbd0d4.jpg,15세 이상,"안정환, 김선영, 이이경, 권일용, 윤외출, 김진수"
드라마큐브[71],02:45:00,용감한 형사들4,9회,예능,다큐멘터리,40,대한민국을 충격에 빠뜨린 강력 사건들을 형사들의 생생한 증언과 함께 재구성하여 보여주는 프로그램.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220928_109%2F1664324079998k60Is_JPEG%2Ff506114e0142f0e5fab8dc3d2adbd0d4.jpg,15세 이상,"안정환, 김선영, 이이경, 권일용, 윤외출, 김진수"
드라마큐브[71],03:25:00,토요일은 밥이 좋아,109회,예능,버라이어티,50,'먹는 것에 진심'인 스타들이 모여 숨겨진 로컬 맛집을 찾아 떠나는 '리얼 로드 먹방 버라이어티',https://image.tmdb.org/t/p/w500/wdtqfBVXUmvYpmM9E3cx21NA5tm.jpg,15세 이상,"이대호, 박광재, 현주엽, 히밥"
드라마큐브[71],04:15:00,최고의사랑,11회,드라마,로맨스,70,한물간 아이돌 출신 여가수와 안하무인 톱스타의 파란만장한 연애를 그린 로맨틱 코미디 드라마입니다.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F51%2F45%2F44%2F57_2514544_poster_image_1496212657703.jpg,12세 이상,"윤정수, 김숙, 송은이, 김영철"
드라마큐브[71],05:25:00,최고의사랑,12회,드라마,로맨스,70,한물간 아이돌 출신 여가수와 안하무인 톱스타의 파란만장한 연애를 그린 로맨틱 코미디 드라마입니다.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F51%2F45%2F44%2F57_2514544_poster_image_1496212657703.jpg,12세 이상,"윤정수, 김숙, 송은이, 김영철"
드라마큐브[71],06:35:00,용감한 형사들4,30회,예능,다큐멘터리,80,대한민국을 충격에 빠뜨린 강력 사건들을 형사들의 생생한 증언과 함께 재구성하여 보여주는 프로그램.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220928_109%2F1664324079998k60Is_JPEG%2Ff506114e0142f0e5fab8dc3d2adbd0d4.jpg,15세 이상,"안정환, 김선영, 이이경, 권일용, 윤외출, 김진수"
드라마큐브[71],07:55:00,우리영화,8회,드라마,휴먼,90,소포모어 징크스에 자신을 옭아맨 채로 다음이 없이 살아가는 영화감독과 생의 끝에 다다라서야 비로소 인생의 주연으로 살아보려는 시한부 배우의 이야기,https://image.tmdb.org/t/p/w500/aXsgj6xhCkdvb10gwX4uiMo13SN.jpg,15세 이상,"남궁민, 전여빈, 서현우, 이설, 서이서"
드라마큐브[71],09:25:00,우리영화,9회,드라마,휴먼,90,소포모어 징크스에 자신을 옭아맨 채로 다음이 없이 살아가는 영화감독과 생의 끝에 다다라서야 비로소 인생의 주연으로 살아보려는 시한부 배우의 이야기,https://image.tmdb.org/t/p/w500/aXsgj6xhCkdvb10gwX4uiMo13SN.jpg,15세 이상,"남궁민, 전여빈, 서현우, 이설, 서이서"
드라마큐브[71],10:55:00,시크릿가든,11회,드라마,"로맨스, 판타지",80,무술감독을 꿈꾸는 스턴트 우먼 길라임과 '까칠한' 백만장자 백화점 사장 김주원의 영혼이 바뀌면서 벌어지는 일을 다룬 로맨스 판타지 드라마,https://image.tmdb.org/t/p/w500/5DOhLDAZyILrRE75pV1BpXAGLIR.jpg,15세 이상,"현빈, 하지원, 윤상현, 김사랑, 이필립"
드라마큐브[71],12:15:00,시크릿가든,12회,드라마,"로맨스, 판타지",80,무술감독을 꿈꾸는 스턴트 우먼 길라임과 '까칠한' 백만장자 백화점 사장 김주원의 영혼이 바뀌면서 벌어지는 일을 다룬 로맨스 판타지 드라마,https://image.tmdb.org/t/p/w500/5DOhLDAZyILrRE75pV1BpXAGLIR.jpg,15세 이상,"현빈, 하지원, 윤상현, 김사랑, 이필립"
드라마큐브[71],13:35:00,나 혼자 산다,584회,예능,버라이어티,115,"대한민국 1인 가구 453만 시대! 이제는 1인 가구가 대세! 연예계 역시 1/3은 1인 가구! 기러기 아빠, 주말부부, 상경 후 고군분투중인 청년, 독신남 등 각기 다른 이유로 싱글족이 된 스타들! 당당한 1인 가구의 싱글라이프는 과연 어떤 것일까? 1인 가구가 트렌드가 된 현 시점에서 프로그램을 통해 사회적 공감대를 형성해본다.",https://image.tmdb.org/t/p/w500/bq3Emv3pJLUyHvwGqiAXRwJvAmL.jpg,15세 이상,"박나래, 전현무, 키, 화사, 코드쿤스트"
드라마큐브[71],15:30:00,라디오스타,901회,예능,토크쇼,100,"2007년 5월 30일부터 MBC TV에서 방송되고 있는 예능 프로그램으로, 라디오 프로그램들의 '보이는 라디오'를 이용하여 들리는 TV로 콘셉트를 잡아 현재까지 방송되고 있는 코너이다. 진행자들은 각각 DJ로 불리며, 매주 다양한 게스트들을 초대해서 근황에 대해 여러가지 질문을 하고 답하는 리얼 토크쇼 프로그램이다. 개인별 초대손님의 경우 한 번에 최대 4명을, 그룹의 경우 최대 5명의 초대손님으로 최대 3회까지 녹화한다.",https://image.tmdb.org/t/p/w500/ofo50w2DTFcPkOm3iguWGU3Y8cw.jpg,15세 이상,"김구라, 김국진, 안영미, 유세윤"
드라마큐브[71],17:10:00,용감한 형사들4,31회,예능,다큐멘터리,90,대한민국을 충격에 빠뜨린 강력 사건들을 형사들의 생생한 증언과 함께 재구성하여 보여주는 프로그램.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220928_109%2F1664324079998k60Is_JPEG%2Ff506114e0142f0e5fab8dc3d2adbd0d4.jpg,15세 이상,"안정환, 김선영, 이이경, 권일용, 윤외출, 김진수"
드라마큐브[71],18:40:00,톡파원 25시,130회,예능,토크쇼,100,"전 세계 공통된 관심사들을 해외 거주 중인 교민, 유학생 등이 직접 취재한 후 화상앱을 통해 실시간으로 대화하는 스튜디오 토크 프로그램",https://image.tmdb.org/t/p/w500/qn6Hj3P0tszQSGT2DXqd1CLE4Ae.jpg,12세 이상,"전현무, 김숙, 양세찬, 이찬원, 다니엘 린데만"
드라마큐브[71],20:20:00,톡파원 25시,122회,예능,토크쇼,100,"전 세계 공통된 관심사들을 해외 거주 중인 교민, 유학생 등이 직접 취재한 후 화상앱을 통해 실시간으로 대화하는 스튜디오 토크 프로그램",https://image.tmdb.org/t/p/w500/qn6Hj3P0tszQSGT2DXqd1CLE4Ae.jpg,12세 이상,"전현무, 김숙, 양세찬, 이찬원, 다니엘 린데만"
드라마큐브[71],22:00:00,우리영화,10회,드라마,휴먼,90,소포모어 징크스에 자신을 옭아맨 채로 다음이 없이 살아가는 영화감독과 생의 끝에 다다라서야 비로소 인생의 주연으로 살아보려는 시한부 배우의 이야기,https://image.tmdb.org/t/p/w500/aXsgj6xhCkdvb10gwX4uiMo13SN.jpg,15세 이상,"남궁민, 전여빈, 서현우, 이설, 서이서"
드라마큐브[71],23:30:00,용감한 형사들4,36회,예능,다큐멘터리,60,대한민국을 충격에 빠뜨린 강력 사건들을 형사들의 생생한 증언과 함께 재구성하여 보여주는 프로그램.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220928_109%2F1664324079998k60Is_JPEG%2Ff506114e0142f0e5fab8dc3d2adbd0d4.jpg,15세 이상,"안정환, 김선영, 이이경, 권일용, 윤외출, 김진수"
