channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
스크린[46],02:00:00,가을의 전설,,영화,"로맨스, 드라마, 모험, 액션",150,"대령 러드로우는 퇴역 후 알프레드, 트리스탄, 새뮤얼이라는 삼형제와 몬타나에서 살고 있다. 첫째인 알프레드는 성실하고 부지런한 모범생이었고, 둘째인 트리스탄은 강한 성격과 정렬적이며 남성적인 매력을 가지고 있었고, 막내 새뮤얼은 밝은 청년이었다.어느날 막내 새뮤얼은 매력적인 약혼녀 수산나를 고향으로 데리고 온다. 수산나는 보는 순간 알프레드와 트리스탄 역시 그녀에게 반해버린다. 그러나 제1차 세계대전이 발발해 세 형제는 모두 전쟁에 참가하나 새뮤얼은 적군의 총에 맞아 어이 없이 목슴을 잃게 되고, 알프레드는 불구가 된다. 동생을 지키지 못했다는 죄책감에 트리스탄은 바다로 떠나버린다. 그 후 알프레드와 수산나는 서로 사랑하게 되지만 어느날 트리스탄이 고향에 돌아오게 되고...",https://image.tmdb.org/t/p/w500/t1KPGlW0UGd0m515LPQmk2F4nu1.jpg,15세 이상,"브래드 피트, 안소니 홉킨스, 에이단 퀸, 줄리아 오몬드, 헨리 토마스"
스크린[46],04:30:00,풍화감,1회,드라마,"중국드라마, 사극_시대극, 판타지, 복수",60,"전세, 원가의 아가씨 원완은 혼인 당일 나라를 팔았다는 죄를 뒤집어쓰고 남편이 될 이의 손에 온 집안은 멸문을 당하게 되고, 진심으로 그녀를 지키고자 했던 사람마저도 명을 다하게 된다. 이후 전세의 기억과 상처를 그대로 지닌채 다시 한 번 태어난 원완은 반드시 복수를 하겠다고 다짐하고, 황자 샤오천과 동맹을 맺고 의문이 층층이 쌓인 한 치 앞도 알 수 없는 복수의 길을 걷게되는데...",https://image.tmdb.org/t/p/w500/pa87mbrcLSmt99azdcu3g3Md5xz.jpg,15세 이상,"갈신이, 동자범, 주미미, 유준달"
스크린[46],05:30:00,풍화감,2회,드라마,"중국드라마, 사극_시대극, 판타지, 복수",30,"전세, 원가의 아가씨 원완은 혼인 당일 나라를 팔았다는 죄를 뒤집어쓰고 남편이 될 이의 손에 온 집안은 멸문을 당하게 되고, 진심으로 그녀를 지키고자 했던 사람마저도 명을 다하게 된다. 이후 전세의 기억과 상처를 그대로 지닌채 다시 한 번 태어난 원완은 반드시 복수를 하겠다고 다짐하고, 황자 샤오천과 동맹을 맺고 의문이 층층이 쌓인 한 치 앞도 알 수 없는 복수의 길을 걷게되는데...",https://image.tmdb.org/t/p/w500/pa87mbrcLSmt99azdcu3g3Md5xz.jpg,15세 이상,"갈신이, 동자범, 주미미, 유준달"
스크린[46],06:00:00,풍화감,3회,드라마,"중국드라마, 사극_시대극, 판타지, 복수",60,"전세, 원가의 아가씨 원완은 혼인 당일 나라를 팔았다는 죄를 뒤집어쓰고 남편이 될 이의 손에 온 집안은 멸문을 당하게 되고, 진심으로 그녀를 지키고자 했던 사람마저도 명을 다하게 된다. 이후 전세의 기억과 상처를 그대로 지닌채 다시 한 번 태어난 원완은 반드시 복수를 하겠다고 다짐하고, 황자 샤오천과 동맹을 맺고 의문이 층층이 쌓인 한 치 앞도 알 수 없는 복수의 길을 걷게되는데...",https://image.tmdb.org/t/p/w500/pa87mbrcLSmt99azdcu3g3Md5xz.jpg,15세 이상,"갈신이, 동자범, 주미미, 유준달"
스크린[46],07:00:00,설해,,영화,"로맨스, 드라마",120,어릴 적 아빠를 잃은 아픔을 간직하고 사는 조향사 선미는 남자친구에게 일방적으로 이별을 통보받은 날 상우를 만난다. 사랑하는 여동생을 먼저 떠나 보낸 실업 팀 수영선수 후보생 상우는 술에 취한 선미를 구하고 그녀가 소중하게 간직하고 있던 아빠의 유품인 오르골을 찾아주면서 두 사람은 점점 가까워진다. 운명처럼 사랑에 빠진 두 사람은 평생을 함께 하길 맹세하지만 선미는 아직 치료가 개발되지 않은 병을 앓고 있는데…,https://image.tmdb.org/t/p/w500/yrcLLcf1PFGtpHuTlINTTi0EMs.jpg,12세 이상,"박해진, 이영아, 송재희, 전무송, 송채린"
스크린[46],09:00:00,시카고피디 10,11회,드라마,"미국드라마, 범죄 스릴러_수사극",60,시카고 경찰 특수수사대 형사들의 범죄 수사 활동과 그들의 개인적인 삶을 다루는 범죄 수사 드라마,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F06%2F03%2F50%2F57_16060350_poster_image_1599543880821.jpg,15세 이상,"제이슨 베게, 패트릭 플러거, 에이미 모튼, 제시 소퍼, 트레이시 스피리다코스"
스크린[46],10:00:00,시카고피디 10,12회,드라마,"미국드라마, 범죄 스릴러_수사극",60,시카고 경찰 특수수사대 형사들의 범죄 수사 활동과 그들의 개인적인 삶을 다루는 범죄 수사 드라마,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F06%2F03%2F50%2F57_16060350_poster_image_1599543880821.jpg,15세 이상,"제이슨 베게, 패트릭 플러거, 에이미 모튼, 제시 소퍼, 트레이시 스피리다코스"
스크린[46],11:00:00,사설탐정 매그넘P.I. 5,11회,드라마,"미국드라마, 범죄 스릴러_수사극",60,전직 해군 특수부대원 토마스 매그넘이 하와이에서 사설탐정으로 활동하며 미해결 사건을 해결해나가는 범죄 수사 드라마입니다.,https://m.media-amazon.com/images/S/pv-target-images/0f1883594b2944b2075f111eb00e6a4b1bb64c76742055743b1c676d528b7e22._RI_TTW_.jpg,15세 이상,"제이 에르난데스, 퍼디타 윅스, 재커리 나이튼, 스티븐 힐, 팀 강"
스크린[46],12:00:00,사설탐정 매그넘P.I. 5,12회,드라마,"미국드라마, 범죄 스릴러_수사극",60,전직 해군 특수부대원 토마스 매그넘이 하와이에서 사설탐정으로 활동하며 미해결 사건을 해결해나가는 범죄 수사 드라마입니다.,https://m.media-amazon.com/images/S/pv-target-images/0f1883594b2944b2075f111eb00e6a4b1bb64c76742055743b1c676d528b7e22._RI_TTW_.jpg,15세 이상,"제이 에르난데스, 퍼디타 윅스, 재커리 나이튼, 스티븐 힐, 팀 강"
스크린[46],13:00:00,그레이트 워,,영화,"드라마, 액션",120,1945년 2차전쟁시기 노르망디 전투 이후 프랑스군 소대는 보주산맥에서 독일군에 패배해 후퇴한다. 이후 프랑스군 소대는 독일군의 중요 방어선인 예브스하임 습격작전을 펼친다. 이를 위해 어린 신병들이 도착하자 보주산맥 전투에서 전우를 잃은 헤냑상병은 전쟁의 피폐함을 전하며 염세적인 태도로 일관한다. 그 과정에서 연합국 미군과 감정적인 마찰을 빚은 채 전투에 나선다. 연합군은 혹독한 겨울을 견뎌내며 열세의 상황 속 필사의 전투를 펼치는데...,https://image.tmdb.org/t/p/w500/geQXmtEzXUSlvklKXknYPU3tkuq.jpg,15세 이상,"마누엘 곤살베스, 로랑 귀오, 로랑 체룰리, 브누아 다뱅, 브라이언 메시나"
스크린[46],15:00:00,킬링 카인드 킬러의 수제자,,영화,"스릴러, 액션",120,"베트남 갱단에 의해 잔혹하게 부모를 잃은 `안나`(매기 큐)는 암살자 `무디’(사무엘 L. 잭슨)에게 거둬져 최고의 킬러로 길러진다. 어느날, `안나`는 세상의 유일한 가족 `무디`의 죽음을 목격하게 되고 그의 죽음에 거대한 세력의 배후가 있다는 것을 알게 된다. 모든 것을 잃은 `안나`는 피의 복수를 결심하는데…",https://image.tmdb.org/t/p/w500/3Fg406jJznlJSpwZTiGo3dBdAiy.jpg,15세 이상,"매기 큐, 사무엘 엘 잭슨, 마이클 키튼, 데이비드 린툴, 패트릭 말라하이드"
스크린[46],17:00:00,가비,,영화,드라마,120,"1896년, 고종이 러시아 공사관으로 피신해 대한제국을 준비하던 혼돈의 시기, 러시아 대륙에서 커피와 금괴를 훔치다 러시아군에게 쫓기게 된 일리치와 따냐는, 조선계 일본인 사다코의 음모로 조선으로 오게 된다. 고종의 곁에서 커피를 내리는 조선 최초의 바리스타가 된 따냐, 그녀를 지키기 위해 사카모토란 이름으로 스파이가 된 일리치, 그들은 사다코로 인해 은밀한 고종암살작전에 휘말리게 되는데…",https://image.tmdb.org/t/p/w500/xrwdk2590u5KmUTyD3d6G5O3dMf.jpg,15세 이상,"김소연, 주진모, 박희순, 유선, 조덕현"
스크린[46],19:00:00,허큘리스,,영화,"모험, 액션",120,네메안의 사자와 지옥의 개들을 맨 손으로 물리쳤다는 전설적인 업적으로 유명한 ‘허큘리스’는 충실한 추종자들과 방랑하는 용병이 되어 돈을 벌며 살아간다. 그의 명성을 들은 이웃나라 트라키아의 왕과 공주는 죽음의 군단이라 불리는 강력한 군사들을 물리쳐주기를 요청한다. 허큘리스는 이제 전설로 전해지는 자신의 활약상을 증명하고 세상의 질서를 바로잡을 진정한 남자로 거듭나야만 하는데…,https://image.tmdb.org/t/p/w500/hmWwoUXorZyyymGdmrX46lEIrnf.jpg,15세 이상,"장대웅, 맹이안, 허준, 류수현, 한욱"
스크린[46],21:00:00,괴물,,영화,"SF, 공포, 드라마",150,"아버지가 운영하는 한강매점, 늘어지게 낮잠 자던 강두는 우연히 특이한 광경을 목격하게 된다. 생전 보도 못한 무언가가 한강다리에 매달려 움직이는 것이다. 정체를 알 수 없는 괴물은 둔치 위로 올라와 사람들을 거침없이 깔아뭉개고, 무차별로 물어뜯기 시작한다. 순식간에 아수라장으로 돌변하는 한강변. 강두도 뒤늦게 딸 현서를 데리고 정신없이 도망가지만, 꼭 잡았던 현서의 손을 놓치고 만다. 하루아침에 집과 생계, 그리고 현서까지 모든 것을 잃게 된 강두 가족. 돈도 없고 빽도 없는 그들은 위험구역으로 선포된 한강 어딘가에 있을 현서를 찾아 나선다.",https://image.tmdb.org/t/p/w500/tqDQzYGi1EWHgUZY91YRSJLDJVf.jpg,12세 이상,"송강호, 변희봉, 박해일, 배두나, 고아성"
스크린[46],23:30:00,강릉,,영화,"드라마, 스릴러, 액션",60,"강릉 최대 조직의 ‘길석’ 평화와 의리를 중요시하며 질서 있게 살아가던 그의 앞에 강릉 최대 리조트 소유권을 노린 남자 ‘민석’이 나타난다. 첫 만남부터 서늘한 분위기가 감도는 둘, ‘민석’이 자신의 목표를 위해 본격적으로 움직이기 시작하면서 두 조직 사이에는 겉잡을 수 없는 전쟁이 시작되는데.. 거친 운명 앞에 놓인 두 남자 11월, 그들의 이야기가 시작된다",https://image.tmdb.org/t/p/w500/1MZ42GYL84wW4U9HtcKMuTOx6fD.jpg,19세 이상,"장혁, 유오성, 한선화, 김준배, 박성근"
