channel,airtime,title,genre,subgenre,runtime,description,thumbnail,age_rating,cast
씨네프[47],00:03:00,황해,영화,"드라마, 스릴러",60,"연변에서 택시를 모는 구남은 빚더미에 쌓여 구질구질한 일상을 살아간다. 한국으로 돈 벌러 간 아내는 6개월째 소식이 없고, 돈을 불리기 위해 마작판에 드나들지만 항상 잃을 뿐이다. 어느 날 살인청부업자 면가에게서 한국 가서 사람 한 명 죽이고 오라는 제안을 받는다. 절박한 현실에서 선택의 여지가 없는 구남은 빚을 갚기 위해, 그리고 아내를 만나기 위해 황해를 건넌다. 매서운 바다를 건너 서울로 온 구남은 틈틈이 살인의 기회를 노리면서 동시에 아내의 행방을 수소문하지만, 자신의 눈 앞에서 목표물이 살해 당하는 것을 목격한 구남은 누명을 쓴 채 경찰의 추적을 피해 도망 친다.",https://image.tmdb.org/t/p/w500/rnwwIy4hBvYaZIbS3AYGZoS6wyP.jpg,19세 이상,"하정우, 김윤석, 조성하, 이철민, 곽도원"
씨네프[47],01:03:00,황해,영화,"드라마, 스릴러",57,"연변에서 택시를 모는 구남은 빚더미에 쌓여 구질구질한 일상을 살아간다. 한국으로 돈 벌러 간 아내는 6개월째 소식이 없고, 돈을 불리기 위해 마작판에 드나들지만 항상 잃을 뿐이다. 어느 날 살인청부업자 면가에게서 한국 가서 사람 한 명 죽이고 오라는 제안을 받는다. 절박한 현실에서 선택의 여지가 없는 구남은 빚을 갚기 위해, 그리고 아내를 만나기 위해 황해를 건넌다. 매서운 바다를 건너 서울로 온 구남은 틈틈이 살인의 기회를 노리면서 동시에 아내의 행방을 수소문하지만, 자신의 눈 앞에서 목표물이 살해 당하는 것을 목격한 구남은 누명을 쓴 채 경찰의 추적을 피해 도망 친다.",https://image.tmdb.org/t/p/w500/rnwwIy4hBvYaZIbS3AYGZoS6wyP.jpg,19세 이상,"하정우, 김윤석, 조성하, 이철민, 곽도원"
씨네프[47],02:00:00,슬리핑 위드 아더 피플,영화,"로맨스, 코미디",58,"첫 경험 상대가 12년 만에 눈 앞에 나타났다?! 친구들이 모두 말리는 나쁜 남자에게 푹 빠져 정상적인 연애가 불가능한 여자 '레이니' 수 많은 여자들과 캐주얼 한 관계만 즐기고픈 뉴욕 최고의 작업남 '제이크' 우연히 다시 만난 강렬한 첫 경험 이후 지독히 꼬여버린 문제적 섹스라이프에 대해 털어놓던 이들은 직설적인 조언을 아끼지 않으며 서로의 연애문제 해결에 나서는데... '조건부' 절친이 된 서로에게 완벽한 두 남녀, 이번엔 다른 건 모두 함께해도 그것(?)만은 하지 말자!",https://image.tmdb.org/t/p/w500/hhtGtFlvSljfjdB9HKTAlNc3oiH.jpg,19세 이상,"제이슨 수데이키스, 앨리슨 브리, 아담 스콧, 제이슨 만초카스, 나타샤 리온"
씨네프[47],02:58:00,슬리핑 위드 아더 피플,영화,"로맨스, 코미디",59,"첫 경험 상대가 12년 만에 눈 앞에 나타났다?! 친구들이 모두 말리는 나쁜 남자에게 푹 빠져 정상적인 연애가 불가능한 여자 '레이니' 수 많은 여자들과 캐주얼 한 관계만 즐기고픈 뉴욕 최고의 작업남 '제이크' 우연히 다시 만난 강렬한 첫 경험 이후 지독히 꼬여버린 문제적 섹스라이프에 대해 털어놓던 이들은 직설적인 조언을 아끼지 않으며 서로의 연애문제 해결에 나서는데... '조건부' 절친이 된 서로에게 완벽한 두 남녀, 이번엔 다른 건 모두 함께해도 그것(?)만은 하지 말자!",https://image.tmdb.org/t/p/w500/hhtGtFlvSljfjdB9HKTAlNc3oiH.jpg,19세 이상,"제이슨 수데이키스, 앨리슨 브리, 아담 스콧, 제이슨 만초카스, 나타샤 리온"
씨네프[47],03:57:00,내 인생의 여인,드라마,휴먼,51,각기 다른 삶의 배경을 가진 세 여인이 만나 서로의 상처를 보듬고 진정한 행복을 찾아가는 이야기를 그린 드라마.,정보 없음,15세 이상,정보 없음
씨네프[47],04:48:00,살맛나는 세상,보도,보도,61,살맛나는 세상,,전체 이용가,정보 없음
씨네프[47],05:49:00,살맛나는 세상,보도,보도,60,살맛나는 세상,,전체 이용가,정보 없음
씨네프[47],06:49:00,하와이 파이브 오 10,드라마,"미국드라마, 범죄 스릴러_수사극",54,"하와이 오아후를 배경으로 한 범죄 수사 드라마로, 특수 수사팀 'Five-0'의 활약을 그립니다.",정보 없음,15세 이상,"알렉스 오로린, 스콧 칸, 이안 안소니 데일, 메간 래스, 조지 가르시아"
씨네프[47],07:43:00,하와이 파이브 오 10,드라마,"미국드라마, 범죄 스릴러_수사극",53,"하와이 오아후를 배경으로 한 범죄 수사 드라마로, 특수 수사팀 'Five-0'의 활약을 그립니다.",정보 없음,15세 이상,"알렉스 오로린, 스콧 칸, 이안 안소니 데일, 메간 래스, 조지 가르시아"
씨네프[47],08:36:00,언포게터블 2,드라마,"미국드라마, 범죄 스릴러_수사극",58,기억력이 비상한 여형사가 살인 사건을 해결하는 과정을 그린 수사 드라마.,정보 없음,15세 이상,"포피 몽고메리, 딜란 월쉬, 마이클 가스톤, 케빈 랜킨, 제인 커틴"
씨네프[47],09:34:00,미스트,영화,"SF, 스릴러, 공포",75,"마켓에서 물건을 고르는 도중 동네 노인이 피를 흘리면서 “안개 속에 무언가가 있다!!” 뛰쳐 들어왔다. 마트 밖은 이미 아무것도 보이지 않는 정체 불명의 안개로 뒤덮혔고, 정체불명 거대한 괴생물체의 공격을 받는다. 마트 안에는 주민들과 데이빗, 그의 아들 빌리가 고립되었고, 지금 밖으로 나간다면 모두 죽는다는 미친 예언자가 그곳을 더욱 절망스럽게 만든다. 몇 시간 뒤 그들은 믿을 수 없는 괴물들의 등장으로 목숨의 위협을 받고, 살기 위해 살아 남기 위해 싸우기로 결심한다.",https://image.tmdb.org/t/p/w500/rVsu2gHPItijljj1v3XV4mWJisX.jpg,15세 이상,"토마스 제인, 로리 홀든, 토비 존스, 마샤 게이 하든, 앤드레 브라우어"
씨네프[47],10:49:00,미스트,영화,"SF, 스릴러, 공포",74,"마켓에서 물건을 고르는 도중 동네 노인이 피를 흘리면서 “안개 속에 무언가가 있다!!” 뛰쳐 들어왔다. 마트 밖은 이미 아무것도 보이지 않는 정체 불명의 안개로 뒤덮혔고, 정체불명 거대한 괴생물체의 공격을 받는다. 마트 안에는 주민들과 데이빗, 그의 아들 빌리가 고립되었고, 지금 밖으로 나간다면 모두 죽는다는 미친 예언자가 그곳을 더욱 절망스럽게 만든다. 몇 시간 뒤 그들은 믿을 수 없는 괴물들의 등장으로 목숨의 위협을 받고, 살기 위해 살아 남기 위해 싸우기로 결심한다.",https://image.tmdb.org/t/p/w500/rVsu2gHPItijljj1v3XV4mWJisX.jpg,15세 이상,"토마스 제인, 로리 홀든, 토비 존스, 마샤 게이 하든, 앤드레 브라우어"
씨네프[47],12:03:00,미스 슬로운,영화,"드라마, 스릴러",83,"승률 100%를 자랑하는 최고의 로비스트 슬로운. 총기 규제 법안으로 온 나라가 떠들썩한 가운데, 자신의 신념에 따라 모두가 포기한 싸움에 뛰어들게 된다. 승리를 위해서라면 수단과 방법을 가리지 않는 슬로운은 뛰어난 전략으로 한 번도 굴복한 적 없는 거대 권력에 맞서지만, 동시에 자신과 주변 사람 모두를 위험에 빠트리게 되는데…",https://image.tmdb.org/t/p/w500/lBkUrPVm7sUPOMuvkerq7EVeHIv.jpg,15세 이상,"제시카 채스테인, 마크 스트롱, 구구 음바타-로, 앨리슨 필, 마이클 스툴바그"
