channel,airtime,title,genre,subgenre,runtime,description,thumbnail,age_rating,cast
애니맥스[326],00:00:00,마에바시 위치스,애니,키즈,28,마에바시 위치스,,전체 이용가,정보 없음
애니맥스[326],00:28:00,나는 성간 국가의 악덕영주,애니,키즈,32,나는 성간 국가의 악덕영주,,전체 이용가,정보 없음
애니맥스[326],01:00:00,마도구사 달리아는 고개 숙이지 않아,애니,키즈,24,마도구사 달리아는 고개 숙이지 않아,,전체 이용가,정보 없음
애니맥스[326],01:24:00,마도구사 달리아는 고개 숙이지 않아,애니,키즈,34,마도구사 달리아는 고개 숙이지 않아,,전체 이용가,정보 없음
애니맥스[326],01:58:00,마도구사 달리아는 고개 숙이지 않아,애니,키즈,23,마도구사 달리아는 고개 숙이지 않아,,전체 이용가,정보 없음
애니맥스[326],02:21:00,마도구사 달리아는 고개 숙이지 않아,애니,키즈,28,마도구사 달리아는 고개 숙이지 않아,,전체 이용가,정보 없음
애니맥스[326],02:49:00,마도구사 달리아는 고개 숙이지 않아,애니,키즈,23,마도구사 달리아는 고개 숙이지 않아,,전체 이용가,정보 없음
애니맥스[326],03:12:00,마도구사 달리아는 고개 숙이지 않아,애니,키즈,27,마도구사 달리아는 고개 숙이지 않아,,전체 이용가,정보 없음
애니맥스[326],03:39:00,미라큘러스 레이디버그와 블랙캣4,애니,키즈,22,미라큘러스 레이디버그와 블랙캣4,,전체 이용가,정보 없음
애니맥스[326],04:01:00,미라큘러스 레이디버그와 블랙캣4,애니,키즈,25,미라큘러스 레이디버그와 블랙캣4,,전체 이용가,정보 없음
애니맥스[326],04:26:00,퍼피 구조대6,애니,키즈,22,퍼피 구조대6,,전체 이용가,정보 없음
애니맥스[326],04:48:00,퍼피 구조대6,애니,키즈,25,퍼피 구조대6,,전체 이용가,정보 없음
애니맥스[326],05:13:00,뚝딱구조대,애니,키즈,11,뚝딱구조대,,전체 이용가,정보 없음
애니맥스[326],05:24:00,뚝딱구조대,애니,키즈,12,뚝딱구조대,,전체 이용가,정보 없음
애니맥스[326],05:36:00,뚝딱구조대,애니,키즈,11,뚝딱구조대,,전체 이용가,정보 없음
애니맥스[326],05:47:00,뚝딱구조대,애니,키즈,16,뚝딱구조대,,전체 이용가,정보 없음
애니맥스[326],06:03:00,터닝메카드,애니,키즈,26,터닝메카드,,전체 이용가,정보 없음
애니맥스[326],06:29:00,헬로카봇13 젬,애니,키즈,11,헬로카봇13 젬,,전체 이용가,정보 없음
애니맥스[326],06:40:00,헬로카봇13 젬,애니,키즈,21,헬로카봇13 젬,,전체 이용가,정보 없음
애니맥스[326],07:01:00,또봇 대도시의 영웅들3,애니,키즈,11,또봇 대도시의 영웅들3,,전체 이용가,정보 없음
애니맥스[326],07:12:00,또봇 대도시의 영웅들3,애니,키즈,18,또봇 대도시의 영웅들3,,전체 이용가,정보 없음
애니맥스[326],07:30:00,원픽은 흔한남매,애니,키즈,21,원픽은 흔한남매,,전체 이용가,정보 없음
애니맥스[326],07:51:00,원픽은 흔한남매,애니,키즈,35,원픽은 흔한남매,,전체 이용가,정보 없음
애니맥스[326],08:26:00,헬로카봇 스타가디언,애니,키즈,11,헬로카봇 스타가디언,,전체 이용가,정보 없음
애니맥스[326],08:37:00,헬로카봇 스타가디언,애니,키즈,22,헬로카봇 스타가디언,,전체 이용가,정보 없음
애니맥스[326],08:59:00,폴라레스큐 슈퍼가디언즈,애니,키즈,10,폴라레스큐 슈퍼가디언즈,,전체 이용가,정보 없음
애니맥스[326],09:09:00,폴라레스큐 슈퍼가디언즈,애니,키즈,18,폴라레스큐 슈퍼가디언즈,,전체 이용가,정보 없음
애니맥스[326],09:27:00,고고다이노 해양구조대,애니,키즈,32,고고다이노 해양구조대,,전체 이용가,정보 없음
애니맥스[326],09:59:00,스파이 패밀리,애니,키즈,25,스파이 패밀리,,전체 이용가,정보 없음
애니맥스[326],10:24:00,스파이 패밀리,애니,키즈,36,스파이 패밀리,,전체 이용가,정보 없음
애니맥스[326],11:00:00,명탐정 코난11,애니,키즈,21,명탐정 코난11,,전체 이용가,정보 없음
애니맥스[326],11:21:00,명탐정 코난11,애니,키즈,22,명탐정 코난11,,전체 이용가,정보 없음
애니맥스[326],11:43:00,명탐정 코난11,애니,키즈,45,명탐정 코난11,,전체 이용가,정보 없음
애니맥스[326],12:28:00,명탐정 코난11,애니,키즈,20,명탐정 코난11,,전체 이용가,정보 없음
애니맥스[326],12:48:00,명탐정 코난11,애니,키즈,41,명탐정 코난11,,전체 이용가,정보 없음
애니맥스[326],13:29:00,명탐정 코난11,애니,키즈,20,명탐정 코난11,,전체 이용가,정보 없음
애니맥스[326],13:49:00,명탐정 코난11,애니,키즈,41,명탐정 코난11,,전체 이용가,정보 없음
애니맥스[326],14:30:00,명탐정 코난11,애니,키즈,21,명탐정 코난11,,전체 이용가,정보 없음
애니맥스[326],14:51:00,명탐정 코난11,애니,키즈,22,명탐정 코난11,,전체 이용가,정보 없음
애니맥스[326],15:13:00,명탐정 코난11,애니,키즈,42,명탐정 코난11,,전체 이용가,정보 없음
애니맥스[326],15:55:00,최강공룡 미니특공대,애니,키즈,12,최강공룡 미니특공대,,전체 이용가,정보 없음
애니맥스[326],16:07:00,최강공룡 미니특공대,애니,키즈,20,최강공룡 미니특공대,,전체 이용가,정보 없음
애니맥스[326],16:27:00,듀얼 몬스터카,애니,키즈,11,듀얼 몬스터카,,전체 이용가,정보 없음
