channel,airtime,title,genre,subgenre,runtime,description,thumbnail,age_rating,cast
애니박스[327],00:04:00,지옥락 블루레이 에디션,애니,키즈,24,"지옥락의 블루레이 에디션으로, 애니메이션 본편과 다양한 부가 영상이 담겨 있습니다.",정보 없음,19세 이상,정보 없음
애니박스[327],00:28:00,지옥락 블루레이 에디션,애니,키즈,33,"지옥락의 블루레이 에디션으로, 원작의 강렬한 액션과 매혹적인 스토리를 고화질로 감상할 수 있습니다.",정보 없음,19세 이상,정보 없음
애니박스[327],01:01:00,최강의 왕 두 번째 인생에는 무엇을 하는가?,애니,키즈,29,"사상 최강의 왕, 그레이. 힘도, 부도, 명성도 누구보다 뛰어났지만… 그의 곁에는 아무도 없었다. 차갑고 무정했던 그는 누구도 믿지 않았고, 누구에게도 믿음을 받지 못했다. 그러던 어느 날, 그레이는 갑작스러운 죽음을 맞이하게 되고— 눈을 떠보니, 그는 힘없는 갓난아기 ‘아서’로 다시 태어나 있었다. 이번 생은… 마법이 존재하는 세계. 하지만 그곳에서 그는 따뜻한 가족의 사랑을 받고, 진심 어린 친구들과의 유대를 쌓으며, 처음으로 인생의 참된 기쁨을 알아가게 된다. 그러던 중, 여정을 떠난 아서의 가족이 도적들에게 습격을 당하고 마는데… 사랑과 모험으로 가득한 두 번째 인생, 지금 시작된다!",https://image.tmdb.org/t/p/w500/v7iiQtp5oOqcaeeY6CSRrlG46lR.jpg,12세 이상,"나츠미 후지와라, 마코토 후루카와"
애니박스[327],01:30:00,윈브레WINBRE시즌2,애니,키즈,30,아이들의 상상력을 자극하는 윈브레 시즌2! 새로운 에피소드와 함께 더욱 즐거운 모험을 떠나보세요!,정보 없음,전체 이용가,정보 없음
애니박스[327],02:00:00,윈브레WINBRE시즌2,애니,키즈,30,윈브레WINBRE 시즌2의 새로운 이야기와 캐릭터들을 만나보세요! 아이들의 상상력을 자극하는 흥미진진한 모험이 펼쳐집니다.,정보 없음,전체 이용가,정보 없음
애니박스[327],02:30:00,라바 2기,애니,키즈,11,옐로우와 레드의 좌충우돌 코미디 어드벤처. 라바 친구들의 유쾌한 일상을 담은 2기 시리즈.,https://www.larva.co.kr/data/file/larva/1064357699_c87b9330_larva2.jpg,전체 이용가,"퍼플, 레드, 오렌지, 옐로우, 그린"
애니박스[327],02:41:00,라바 2기,애니,키즈,19,옐로우와 레드를 비롯한 다양한 라바 캐릭터들의 좌충우돌 코믹 어드벤처를 그린 애니메이션.,https://image.yes24.com/momo/FTImage/077/017/130/77017130_0.jpg,전체 이용가,"퍼플, 레드, 오렌지, 옐로우, 그린"
애니박스[327],03:00:00,라바 2기,애니,키즈,11,옐로우와 레드가 펼치는 좌충우돌 코믹 어드벤처! 다양한 에피소드를 통해 웃음과 감동을 선사합니다.,https://www.larva.co.kr/img/common/larva_main_visual_v2.jpg,전체 이용가,"퍼플, 레드, 오렌지, 옐로우, 그린"
애니박스[327],03:11:00,라바 2기,애니,키즈,19,"라바 친구들의 좌충우돌 코믹 어드벤처! 옐로우, 레드, 그리고 새로운 친구들이 펼치는 유쾌한 이야기.",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA2MTRfMTQ1%2FMDAxNjgzOTQzNTQ4NTQ3.j3rQ4MImK9J8T-8j1p2Hj7Rk9d0d8nQxUvT9zUvV4Fgg.qVq3-087G3_u0G6z9H1Y7i9o2yV2kQ8pYl9zV-l5oOAg.JPEG.sunnymomo%2F%25EB%259D%25BC%25EB%25B0%25942.jpg&type=a340,전체 이용가,"퍼플, 레드, 오렌지, 옐로우, 그린"
애니박스[327],03:30:00,레인보우 버블젬,애니,키즈,12,"바다왕국의 인어공주 퍼플은 몰래 육지 구경을 갔다가 인간들에게 정체가 탄로 날 위기에 처한다. 순간 퍼플은 잠들어 있던 버블젬의 수호 요정에게 도움을 요청한다. 버블젬의 수호요정은 퍼플을 인간으로 변신시켜준다. 하지만 무리하게 마법을 사용한 탓에 버블젬이 조각나 육지에 흩어져 버린다. 바다를 지배하는 여왕 화이트골드는 바다 왕국에 사는 일곱 명의 인어공주들에게 육지의 학교에 다니며 흩어진 버블젬을 모두 모아올 것을 명령한다. 한편, 바닷속 깊은 곳에 유배된 바다 마녀는 이 기회를 틈타 수하들을 육지로 보내 버블젬을 빼앗으려 한다. 과연 바닷속에서만 자란 일곱 명의 인어공주들이 육지의 학교생활에 잘 적응할 수 있을까? 그리고 바다 마녀의 방해를 물리치고 흩어진 버블젬을 모두 모을 수 있을까? 두근두근 신나는 일곱 공주의 무지개빛 모험이 시작된다!",https://image.tmdb.org/t/p/w500/eqjA6jGDYRn9VdLFenUCirE27qg.jpg,7,"퍼플, 레드, 오렌지, 옐로우, 그린"
