channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
어린이TV[322],01:00:00,유후와 친구들,6회,애니,키즈,120,유후와 친구들은 전 세계를 탐험하는 귀여운 동물 친구들의 모험을 담은 애니메이션입니다. 각 에피소드마다 새로운 장소에서 벌어지는 흥미진진한 이야기를 만나보세요.,https://image.tmdb.org/t/p/w500/8JDdqHk0FjCrFXce5GABBkSTruz.jpg,전체 이용가,"플래버 플래버, 세드릭 더몰, 마라 키, 마크 매티슨, 미셸 브레진스키"
어린이TV[322],03:00:00,싱싱장터라이브 바른상회 시즌1,10회,예능,교양,50,신바람~ 흥바람~ 소상공인 살리기 프로젝트! 싱싱장터 라이브 <바른상회> 시장 홍보 OK~ 특산물 홍보 OK ~ 대신 장사까지 OK~! 장사에 진심인 바른 남매가 On/Off Line으로 달려갑니다,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20230217_94%2F16765996485411xmJf_JPEG%2F59065a1d93429c94c7df96b70bc1e52e.jpg,전체 이용가,"팽수희, 류지광"
어린이TV[322],03:50:00,리얼타임 하루요가 시즌3,11회,예능,교양,70,피로하고 지친 일상 자신의 몸과 마음에 집중하고 치유하는 요가 프로그램,https://www.newifplus.com/file_upload/program/%EB%A6%AC%EC%96%BC%ED%83%80%EC%9E%84-%ED%95%98%EB%A3%A8%EC%9A%94%EA%B0%80-%EC%8B%9C%EC%A6%8C3_01.jpg,전체 이용가,정보 없음
어린이TV[322],05:00:00,시몽,1회,애니,키즈,120,"한때 작가이자, 제작자이자 감독이기도 했던 백 살이 다 되어가는 시네마씨는 영화의 박물관과도 같은 거대한 성에서 집사의 보살핌을 받으며 살고 있다. 그에게는 이탈리아 친구 마르셀로와 그에게 영화 이야기를 들려줄 수 있는 아름다운 여인이 함께한다. 기억이 점점 희미해져가는 그는 지금까지 만든 영화에 대한 이야기를 들려주는데...",https://image.tmdb.org/t/p/w500/kwGJjP3DccwOsypCqs2XrtoZti.jpg,12세 이상,"미셸 피콜리, 마르첼로 마스트로얀니, 앙리 가르생, 줄리 가예, 마티유 데미"
어린이TV[322],07:00:00,터닝메카드 갓,10회,애니,키즈,30,'내 목소리가 들리면 대답해줘.',https://image.tmdb.org/t/p/w500/9tILEBpeXm6h27PBHI7I1kI6hEt.jpg,전체 이용가,"나찬, 이소벨, 반다인, 리안, 오름"
어린이TV[322],07:30:00,베이블레이드X시즌2,58회,애니,키즈,90,베이블레이드X의 새로운 시즌! 짜릿한 베이블레이드 배틀을 즐겨보세요!,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_156%2F17431322879183elQM_JPEG%2F57_32673798_poster_image_1743132287897.jpg,전체 이용가,정보 없음
어린이TV[322],09:00:00,슈팅스타 캐치 티니핑,1회,애니,키즈,120,"티니핑을 캐치하기 위해 지구에 온 이모션 왕국의 로미 공주! 베이커리 하트로즈에서 사촌언니를 도우며 일상을 보내지만, 티니핑이 나타나면 마법의 콤팩트로 티니핑을 캐치한다. 항상 옆을 지켜주는 로열 티니핑들과 어려움을 극복해가는 로미는 과연 티미핑을 모두 캐치하고 왕국으로 돌아 갈 수 있을까?",https://image.tmdb.org/t/p/w500/rY8QGWz7xdsBx6Em1WnpqQZ2oIU.jpg,7세 이상,"이지영, 이경호, 정혜원"
어린이TV[322],11:00:00,브레드 이발소 4,9회,애니,키즈,60,"귀엽고 개성 넘치는 스타들이 베이커리타운에 나타났다. 새콤달콤 캔디즈, 인기 아이돌 마카롱, 쇼미더머랭의 래퍼들까지! 다양한 셀럽들이 브레드이발소를 방문하며 벌어지는 베이커리 빵스타즈",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20241126_121%2F1732591383288BQqHH_JPEG%2F57_poster_image_1732591383281.jpg,7세 이상,"브레드 피트, 윌크 화이트, 초코, 소시지, 감자칩"
어린이TV[322],12:00:00,마카앤로니 3 에피소드,1회,애니,키즈,60,슬랩스틱과 코미디가 결합한 온 가족이 함께 볼 수 있는 패밀리 애니메이션,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20231023_117%2F1698044894372Mpojr_JPEG%2F57_poster_image_1698044894359.jpg,전체 이용가,정보 없음
어린이TV[322],13:00:00,헬로카봇 스타가디언,17회,애니,키즈,60,변신 자동차 로봇 애니메이션,https://image.tmdb.org/t/p/w500/mRyfvMzwBplfiL9C2ItG5RYViLr.jpg,7세 이상,정보 없음
어린이TV[322],14:00:00,씰룩 파트2,5회,애니,키즈,60,씰룩 파트2는 귀여운 캐릭터들과 함께 즐거운 모험을 떠나는 어린이들을 위한 애니메이션입니다.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250113_178%2F1736724967596ROKU9_JPEG%2F57_poster_image_1736724967578.jpg,전체 이용가,"아기범, 아기곰, 시바범, 점박이범, 뚱범"
어린이TV[322],15:00:00,슈팅스타 캐치 티니핑,9회,애니,키즈,120,"티니핑을 캐치하기 위해 지구에 온 이모션 왕국의 로미 공주! 베이커리 하트로즈에서 사촌언니를 도우며 일상을 보내지만, 티니핑이 나타나면 마법의 콤팩트로 티니핑을 캐치한다. 항상 옆을 지켜주는 로열 티니핑들과 어려움을 극복해가는 로미는 과연 티미핑을 모두 캐치하고 왕국으로 돌아 갈 수 있을까?",https://image.tmdb.org/t/p/w500/rY8QGWz7xdsBx6Em1WnpqQZ2oIU.jpg,7세 이상,"이지영, 이경호, 정혜원"
어린이TV[322],17:00:00,헬로카봇 올스타 오리지널,10회,애니,키즈,60,대한민국 대표 로봇 변신 애니메이션 헬로카봇의 새로운 이야기. 카봇 친구들과 함께 펼쳐지는 흥미진진한 모험을 즐겨보세요!,https://ah9szoaj9w.ecn.cdn.ofs.kr/images/tvee-admin/animax/content/imgS_20250430110529.png,전체 이용가,정보 없음
어린이TV[322],18:00:00,마카앤로니 2,9회,애니,키즈,120,마카와 로니가 펼치는 즐거운 모험 이야기.,https://example.com/maca_and_roni_2_thumbnail.jpg,전체 이용가,"마카, 로니, 박사, 알바고"
어린이TV[322],20:00:00,뚜식이 2,7회,애니,키즈,120,뚜식이의 새로운 모험을 담은 이야기.,정보 없음,전체 이용가,정보 없음
어린이TV[322],22:00:00,신비아파트 고스트볼 더블X 6개의 예언,12회,애니,키즈,60,"금비의 요술로 미래에 놀러 간 아이들은 기대했던 찬란한 미래가 아닌 사람들이 모두 돌로 변한 절망적인 세상을 목격한다. 악귀들이 날뛰는 세상에서 하리와 친구들은 가까스로 현실로 돌아오고, 때마침 나타난 리온은 오피키언의 예언을 들고와 아이들에게 경고한다. 한편, 별빛 초등학교 아이들이 깊은 잠에 빠져버리는 사건이 발생하는데...",https://image.tmdb.org/t/p/w500/oMinmbSCgEGkUrOpz8o9oTzyGZA.jpg,전체 이용가,김현수
어린이TV[322],23:00:00,꿈의 왕국 소피 루비,42회,애니,키즈,60,변신을 통해 다양한 직업 미션을 수행하여 꼬마 왕자의 저주를 푸는 이야기,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F45%2F29%2F71%2F57_6452971_poster_image_1509606806207.jpg,7세 이상,"루비, 꼬마 왕자, 소피, 스피넬, 소원 요정"
