channel,airtime,title,genre,subgenre,runtime,description,thumbnail,age_rating,cast
채널A[18],00:30:00,위기의 주부들,보도,보도,60,위기의 주부들,https://image.tmdb.org/t/p/w500/3TMNdFDDo5O61Zh288vie8o1MvW.jpg,19세 이상,"테리 해처, 펠리시티 허프만, 마르시아 크로스, 에바 롱고리아, 리카르도 차비라"
채널A[18],01:30:00,채널A남아프리카 야생보호구역,예능,교양,70,남아프리카 야생동물 보호구역에서 펼쳐지는 생생한 동물 보호 활동과 자연의 아름다움을 담은 프로그램.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20241025_220%2F1729838110501zgdgu_JPEG%2F68931b7582194f9e2ddf6c42e8434a58.jpg,전체 이용가,정보 없음
채널A[18],02:40:00,채널A피터 매니스의 그리스 여행기 시즌2,보도,보도,60,채널A피터 매니스의 그리스 여행기 시즌2,정보 없음,전체 이용가,정보 없음
채널A[18],03:40:00,채널A지진 특보,다큐,시사/교양,10,"채널A에서 제공하는 지진 관련 속보 및 심층 분석 프로그램입니다. 지진 발생 시 실시간 상황, 피해 규모, 전문가 인터뷰 등을 제공합니다.",정보 없음,전체 이용가,정보 없음
채널A[18],03:50:00,채널A화재 특보,다큐,시사/교양,10,"채널A에서 방송되는 화재 관련 속보 및 심층 분석 프로그램입니다. 화재 발생 현황, 원인 분석, 예방 대책 등을 다룹니다.",정보 없음,전체 이용가,정보 없음
채널A[18],04:00:00,채널A하늘에서 쉼 플러스,보도,보도,60,채널A하늘에서 쉼 플러스,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20241106_288%2F1730861843379A4hdT_PNG%2Fa14b5f4c2e22c673303d9a9d3a816f44.png,전체 이용가,"정은아, 황보라, 유민상"
채널A[18],05:00:00,위기의 주부들,보도,보도,60,위기의 주부들,https://image.tmdb.org/t/p/w500/3TMNdFDDo5O61Zh288vie8o1MvW.jpg,19세 이상,"테리 해처, 펠리시티 허프만, 마르시아 크로스, 에바 롱고리아, 리카르도 차비라"
채널A[18],06:00:00,몸신의 탄생,예능,뷰티,60,"건강과 아름다움을 잃어버린 몸신 도전자들의 일상을 관찰하고, 전문가들의 도움으로 건강부터 뷰티까지 솔루션 정보를 제공하는 메이크오버 프로그램",https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240715_260%2F1721012116809C1All_JPEG%2F57_8575262_poster_image_1721012116793.jpg,전체 이용가,김진
채널A[18],07:00:00,렛츠팡팡 시즌2,예능,교양,30,온 가족이 함께 즐기는 유쾌한 교양 프로그램,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240715_260%2F1721012116809C1All_JPEG%2F57_8575262_poster_image_1721012116793.jpg,전체 이용가,김진
채널A[18],07:30:00,행복한 아침,보도,보도,80,행복한 아침,정보 없음,전체 이용가,"Lee Jae-yong, 장예인"
채널A[18],08:50:00,김진의 돌직구 쇼,보도,보도,100,김진의 돌직구 쇼,https://image.tmdb.org/t/p/w500/yClvwBi23hPByUnEcuPIiAHEdQi.jpg,전체 이용가,정보 없음
