channel,airtime,title,genre,subgenre,runtime,description,thumbnail,age_rating,cast
채널액션[54],01:00:00,광복절 특사,영화,"드라마, 코미디",70,"조금만 참으면 사랑하는 애인 '경순'과 결혼할 수 있다. 하지만 고무신은 군대에서만 거꾸로 신는 게 아니란 걸 몰랐던 탓일까? 어느 날 면회 온 애인으로부터 ‘결혼한다’는 날벼락 같은 소식을 듣는다. 변심한 애인의 맘을 되돌리기 위해 탈옥을 결심한다 복도 없지....빵 하나 훔쳐먹고 신원이 확실하지 않다는 이유로 감옥으로 직행. '억울함'에 이를 갈며 계속해서 탈옥을 시도하다 형량만 늘어난 고참 죄수 '무석'. 아무생각 없이 콧구멍 파고 있던 어느 날 오후, 숟가락 하나 발견하고는 탈옥루트를 만들기를 6년. 마침내 땅굴파기에 성공! 어디서 굴러들어 온지 모르는 '재필'과 함께 탈옥한다. 절대 다시는, 네버, 네버, 이곳에 오지 않으리라!! 결심하며 탈옥에 성공한 두 사람... 아침 일찍 나온 따끈따끈한 신문을 펼친 순간 자신들이 광복절 특사 명단에 끼어있다는 것을 알게 되는데..",https://image.tmdb.org/t/p/w500/9Buy2oDijzXaRd8QtsnxnQgXbtZ.jpg,15세 이상,"설경구, 차승원, 송윤아, 강신일, 유해진"
채널액션[54],02:10:00,서브마린ORP오제우,영화,액션,60,2차 세계대전 중 폴란드 해군 잠수함 ORP 오제우의 용감한 활약을 그린 영화.,정보 없음,12세 이상,정보 없음
채널액션[54],03:10:00,서브마린ORP오제우,영화,액션,70,2차 세계대전 중 폴란드 해군 잠수함 ORP 오제우의 용감한 활약을 그린 영화.,정보 없음,12세 이상,정보 없음
채널액션[54],04:20:00,일산연우,드라마,"판타지, 무협",55,"대리사 정남풍은 여아인 몽서주와 사건을 계기로 알게 되고, 두 사람은 사제 관계가 되어 요괴를 잡게 된다. 두 사람의 감정이 깊어졌을 때 몽서주의 요괴 왕은 세상에 나타나 심마의 꾐에 넘어가 통제당하자, 정남풍은 자신의 몸에 몽서주가 잃어버린 오래된 요단을 품고 있다는 것을 알게 된다. 그는 사랑하는 이를 구하기 위해 남풍은 요단을 잘라내고 돌려준다. 그리고 자신의 목숨을 걸고서 몽서주와 연합하여 무고한 생명을 구한다.",https://image.tmdb.org/t/p/w500/wuHjSKG01rENjRrGr3oPFl1ohQB.jpg,15세 이상,"유 몽롱, 리쯔쉬안, 준 우, 종 릴리, 허 화"
채널액션[54],05:15:00,일산연우,드라마,"판타지, 무협",50,"대리사 정남풍은 여아인 몽서주와 사건을 계기로 알게 되고, 두 사람은 사제 관계가 되어 요괴를 잡게 된다. 두 사람의 감정이 깊어졌을 때 몽서주의 요괴 왕은 세상에 나타나 심마의 꾐에 넘어가 통제당하자, 정남풍은 자신의 몸에 몽서주가 잃어버린 오래된 요단을 품고 있다는 것을 알게 된다. 그는 사랑하는 이를 구하기 위해 남풍은 요단을 잘라내고 돌려준다. 그리고 자신의 목숨을 걸고서 몽서주와 연합하여 무고한 생명을 구한다.",https://image.tmdb.org/t/p/w500/wuHjSKG01rENjRrGr3oPFl1ohQB.jpg,15세 이상,"유 몽롱, 리쯔쉬안, 준 우, 종 릴리, 허 화"
채널액션[54],06:05:00,백월범성,드라마,"중국드라마, 로맨스, 판타지, 사극_시대극",60,"장군부의 막내딸 백삭이 은혜를 갚기 위해 신선을 지키려다 뜻밖에 요족 대신 범월을 구하게 되고, 두 사람이 서로를 이용하다가 사랑하게 되는 이야기. 장군부의 막내딸 백삭(백록 역)은 은혜를 갚기 위해 신선을 지키려 한다. 그러던 중 뜻밖에 요족 대신 범월(아오루이펑)을 구한다. 두 사람은 싸우기 보다는 서로를 이용하게 되는데 이 과정에서 투덕거리다가 서로를 사랑하게 되면서 수많은 어려움을 극복해 나가며 서로 가장 진실된 서로를 받아들인다.",https://image.tmdb.org/t/p/w500/6dRJx1TQocnGGRMmcxSulsUyFUG.jpg,15세 이상,"백록, 오예붕, 다이 루와, 창 화슨, 장 신"
채널액션[54],07:05:00,백월범성,드라마,"중국드라마, 로맨스, 판타지, 사극_시대극",65,"장군부의 막내딸 백삭이 은혜를 갚기 위해 신선을 지키려다 뜻밖에 요족 대신 범월을 구하게 되고, 두 사람이 서로를 이용하다가 사랑하게 되는 이야기. 장군부의 막내딸 백삭(백록 역)은 은혜를 갚기 위해 신선을 지키려 한다. 그러던 중 뜻밖에 요족 대신 범월(아오루이펑)을 구한다. 두 사람은 싸우기 보다는 서로를 이용하게 되는데 이 과정에서 투덕거리다가 서로를 사랑하게 되면서 수많은 어려움을 극복해 나가며 서로 가장 진실된 서로를 받아들인다.",https://image.tmdb.org/t/p/w500/6dRJx1TQocnGGRMmcxSulsUyFUG.jpg,15세 이상,"백록, 오예붕, 다이 루와, 창 화슨, 장 신"
채널액션[54],08:10:00,류엽적성진,드라마,"중국드라마, 로맨스, 사극_시대극",60,"경성에서도 소문난, 신비에 싸인 도적, '류엽적'의 본명은 '류용'이다. 13년 전 남쪽 지방을 덮친 수해 당시에 소국공이 그녀를 구출했고, 은혜에 보답하기 위해 소국공의 딸, '소금진'의 신분으로 허모진에게 시집간다. 두 사람은 모두 이 유명무실한 결혼에 대해 아무런 감정을 갖고 있지 않다. 류용은 겉보기엔 온화하고 자상한 허 부인이지만, 사실 낮에는 수많은 집을 누비고, 밤에는 수많은 집에서 도둑질을 하는 대도둑, '류엽적'이었다. 류용은 소국공의 지시로 잠입하여, 옥패를 찾기 위해 허부 곳곳을 뒤진다. 동시에 '류엽적'일 때 여러 뻔 허모진과 맞붙었지만, 허모진은 자신과 한 침대를 쓰는 부인이라는 걸 알지 못한다. 허모진은 류엽적을 귀찮게 할 때마다 귀가 후 부인인 소금진에게 혼쭐이 난다. 두 사람은 일상과 공적 상황 속에서 끊임없이 마주치며, 진정한 사랑을 키워가는데...",https://image.tmdb.org/t/p/w500/8xd599UtlVsq2WxeED2ns4HG9h8.jpg,15세 이상,"탕 샤오티엔, 사브리나 좡, 린 펑송, 쳉 지, 리 페이엔"
채널액션[54],09:10:00,류엽적성진,드라마,"중국드라마, 로맨스, 사극_시대극",60,"경성에서도 소문난, 신비에 싸인 도적, '류엽적'의 본명은 '류용'이다. 13년 전 남쪽 지방을 덮친 수해 당시에 소국공이 그녀를 구출했고, 은혜에 보답하기 위해 소국공의 딸, '소금진'의 신분으로 허모진에게 시집간다. 두 사람은 모두 이 유명무실한 결혼에 대해 아무런 감정을 갖고 있지 않다. 류용은 겉보기엔 온화하고 자상한 허 부인이지만, 사실 낮에는 수많은 집을 누비고, 밤에는 수많은 집에서 도둑질을 하는 대도둑, '류엽적'이었다. 류용은 소국공의 지시로 잠입하여, 옥패를 찾기 위해 허부 곳곳을 뒤진다. 동시에 '류엽적'일 때 여러 뻔 허모진과 맞붙었지만, 허모진은 자신과 한 침대를 쓰는 부인이라는 걸 알지 못한다. 허모진은 류엽적을 귀찮게 할 때마다 귀가 후 부인인 소금진에게 혼쭐이 난다. 두 사람은 일상과 공적 상황 속에서 끊임없이 마주치며, 진정한 사랑을 키워가는데...",https://image.tmdb.org/t/p/w500/8xd599UtlVsq2WxeED2ns4HG9h8.jpg,15세 이상,"탕 샤오티엔, 사브리나 좡, 린 펑송, 쳉 지, 리 페이엔"
채널액션[54],10:10:00,라이프 어게인,보도,보도,65,라이프 어게인,,전체 이용가,정보 없음
