channel,airtime,title,genre,subgenre,runtime,description,thumbnail,age_rating,cast
카툰네트워크[316],00:06:00,핀과 제이크의 어드벤처 타임,애니,키즈,55,"이 작품은 종말 이후의 세상인 우 랜드에서 살고 있는 인간 소년 핀과, 마법의 힘으로 몸의 크기와 모양을 자유자재로 변화할 수 있는 강아지 제이크의 모험을 다루고 있다. 워드는 핀을 ‘높은 도덕성을 가진 용맹한 어린 아이’라고 표현했고, 제이크는 영화 《미트볼》에서 빌 머리가 맡은 역할인 트리퍼 해리슨(Tripper Harrison)에서 영감을 받았다고 했다. 그 외 등장인물로는 캔디 왕국의 통치자인 버블검 공주, 악당이자 어딘가 이상한 얼음대왕, 록 음악을 좋아하는 뱀파이어 여왕 마르셀린 등이 있다.",https://image.tmdb.org/t/p/w500/11m6y2KdpnTJux0pStJ94GU1zQ7.jpg,7,"제레미 샤다, 존 디마지오, 톰 케니, 하이든 왈치, 올리비아 올슨"
카툰네트워크[316],01:01:00,공룡 목장 다이노 랜치,애니,키즈,58,공룡과 함께하는 목장 생활을 그린 유쾌한 애니메이션,정보 없음,전체 이용가,정보 없음
카툰네트워크[316],01:59:00,DUCK DODGERS Season1,애니,키즈,52,28세기 우주를 배경으로 펼쳐지는 덕 도저스의 모험을 그린 코미디 애니메이션.,정보 없음,전체 이용가,정보 없음
카툰네트워크[316],02:51:00,DUCK DODGERS Season1,애니,키즈,64,28세기 우주를 배경으로 펼쳐지는 덕 도저스의 모험을 그린 코미디 애니메이션.,정보 없음,전체 이용가,정보 없음
카툰네트워크[316],03:55:00,DUCK DODGERS Season1,애니,키즈,56,28세기 우주를 배경으로 펼쳐지는 덕 도저스의 모험을 그린 코미디 애니메이션.,정보 없음,전체 이용가,정보 없음
카툰네트워크[316],04:51:00,몽키키드,애니,키즈,69,"MK와 그의 친구들이 새로운 옥황상제가 우주를 찢어놓기 전에 막을 수 있는 희망이 있다면, 조상들의 힘을 받아들여야 합니다!",https://image.tmdb.org/t/p/w500/b95d0DcRwRPDeW1HmnjZxukZ9Ba.jpg,12세 이상,"잭 드 세나, 숀 슈멜, 스테파니 셰, 데이브 B. 미첼, 데이비드 첸"
카툰네트워크[316],06:00:00,그리지와 레밍스,애니,키즈,61,"이 산림 감시원의 집은 캐나다의 광활한 자연보호구역에서 길들여지지 않은 황야 한가운데에 있는 유일한 인류 문명 지역이다. 관리인이 자리를 비울 때, 그리지라는 이름의 곰은 곰들이 먹이 사슬의 꼭대기에 앉아 있는 것을 볼 때, 관리인의 집이 자신의 영역이라고 느낀다. 집 안으로 들어간 후, 그리지는 안락한 소파, 에어컨, 그리고 완전한 설비를 갖춘 부엌을 포함한 그곳의 모든 현대적인 편리함을 이용합니다. 하지만 레밍스라고 불리는 작은 생명체들도 그가 없을 때 그 경비원의 집에 모여들기 때문에 그는 혼자가 아니다. 그리지와 레밍스가 함께 평화롭게 살 만큼 문명화되어 있지 않기 때문에, 양측이 속임수로 서로를 앞지르려 할 때 광기의 분위기가 된다.",https://image.tmdb.org/t/p/w500/2izN47iCYlLXDX1CcbKN1OkKeaf.jpg,전체 이용가,"피에르-알랭 드 가리그, 조슬랭 샤리에"
카툰네트워크[316],07:01:00,헬로카봇 스타가디언Part2,애니,키즈,24,헬로카봇 스타가디언의 새로운 에피소드와 함께 카봇들의 활약을 만나보세요!,https://example.com/hellocarbot_starguardian_part2_thumbnail.jpg,전체 이용가,정보 없음
카툰네트워크[316],07:25:00,램풋 시즌4,애니,키즈,34,램풋 시즌4의 줄거리에 대한 정보가 없습니다.,정보 없음,전체 이용가,정보 없음
카툰네트워크[316],07:59:00,배트맨은 나야 틴 타이탄GO,애니,키즈,59,배트맨과 틴 타이탄 친구들의 코믹한 만남을 그린 애니메이션. 배트맨은 틴 타이탄 친구들과 함께 다양한 사건들을 해결하며 웃음을 선사한다.,정보 없음,전체 이용가,정보 없음
