channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
캐치온1[52],00:35:00,동화지만 청불입니다,,영화,"로맨스, 코미디",115,"동화 작가가 꿈이지만 현실은 불법 음란물 단속팀 새내기인 단비는 스타 작가를 찾던 성인 웹소설계 대부 황대표와 우연한 사고로 노예 계약을 맺게 되면서 하루아침에 19금 소설을 쓰게 된다. 생전 접한 적 없는 장르를 집필하는 데 난항을 겪던 단비는 음란물 단속을 하다 권태기에 빠진 선배 정석의 응원과, 친구들의 생생한 경험담에 힘입어 어느새 자신도 알지 못했던 성스러운 재능을 발견하게 되는데…",https://image.tmdb.org/t/p/w500/mkQE7ZOhBMoVhDFbwLiJ43T5GzX.jpg,19세 이상,"박지현, 최시원, 성동일, 박건일, 황세온"
캐치온1[52],02:30:00,히든페이스,,영화,"미스터리, 스릴러",120,"지휘자 성진이 이끄는 오케스트라의 첼리스트이자 약혼녀 수연이 어느 날 영상 편지만을 남겨둔 채 자취를 감춘다. 성진은 수연을 잃은 상실감에 고통스러워하지만, 그녀를 대신한 첼리스트 미주에게 강한 끌림을 느낀다. 비 오는 밤, 서로의 욕망에 휩쓸린 성진과 미주는 수연의 집에서 용서받지 못할 짓을 저지른다. 한편 사라진 줄 알았던 수연은 혼자서는 절대 나올 수 없는 집 안 밀실에 갇혀 숨겨진 민낯을 지켜보는데...",https://image.tmdb.org/t/p/w500/rkuzlpvaAQIbamiRvEFPqzv4zVk.jpg,19세 이상,"송승헌, 조여정, 박지현, 박지영, 박성근"
캐치온1[52],04:30:00,경찰서 습격사건,,영화,"스릴러, 액션",90,"전날 경찰서에 도둑이 들어 총기를 도둑 맞고 난장판이 된다. 살인 사건까지 겹쳐 인원이 부족하자 다리를 다친 태비까지 동원돼 상황실을 지키게 된다. 다들 출동하고 태비 혼자 남은 경찰서에 열쇠공이 찾아오는데 알고 보니 어제 사무소를 털었던 강도와 동일 인물이다. 총도 없는 태비는 가까스로 강도를 제압하지만 곧 강도가 탈주해 버리고 홀로 경찰서를 지키기 위해 고군분투하는데.... 과연 그녀는, 지원팀이 올때까지 침입자들로부터 버텨낼 수 있을까?",https://image.tmdb.org/t/p/w500/w9RwdTxsNkVLEkvglFD0eKqJTH1.jpg,15세 이상,"니키 아무카-버드, 트림 아데미, 필리프 크리스토퍼, 사이먼 쿤츠, 솔리 맥레오드"
캐치온1[52],06:00:00,아카디안,,영화,"공포, 스릴러, 액션, SF",100,"쌍둥이 아들 ‘토마스’와 ‘조셉’과 함께 문명이 파괴된 세상을 살아가는 ‘폴’. 밤마다 습격하는 정체불명의 괴물들 때문에 이들은 매일 긴장감 속에 전투를 준비한다. 그러던 어느 날, 예기치 못한 일로 한밤중에 집을 나선 ‘폴’은 마주쳐서는 안 될 괴물들을 만나게 되는데…",https://image.tmdb.org/t/p/w500/hQXbi2PBztQhAPp8XRd9QRzhVmQ.jpg,19세 이상,"니콜라스 케이지, 제이든 마텔, 맥스웰 젠킨스, 세이디 소버럴, 사만다 코플란"
캐치온1[52],07:40:00,캐시 아웃,,영화,"스릴러, 액션",95,전설적인 강도단의 보스 ‘메이슨’(존 트라볼타) 실패로 끝난 작전 이후 은퇴하고 잠적했던 그가 옛 팀원들의 다급한 요청으로 은행 강도 현장에 도착한다. 하지만 현장은 곧 치밀한 작전 따윈 사라지고 예상치 못한 FBI 협상가까지 등장하며 엉망이 되어버린다. ‘메이슨’은 이제 FBI에 맞서 팀원들을 지키고 인생 마지막 한탕을 성공시키기 위해 완벽한 플랜 B를 설계하기 시작하는데…,https://image.tmdb.org/t/p/w500/4r77ZO9pKgQuW1GxjMrktyY8eUP.jpg,12세 이상,"존 트라볼타, 크리스틴 데이비스, 루카스 하스, Quavo, 조엘 코헨"
캐치온1[52],09:15:00,퇴마록,,영화,"액션, 스릴러, 공포",90,"20년 전 한 사이비 종교단체에서 집단자살하는 사건이 발생한다. 그 속에서 기적적으로 태어난 승희(추상미)는 출생의 비밀을 모른 채 성장하지만, 20년 후인 지금 악령을 잉태할 운명에 처한다. 승희를 보호하기 위해 퇴마사들이 모여들지만, 세상은 그들에게 연쇄살인범이라는 터무니없는 혐의를 씌운다. 승희는 자신의 존재가 무고한 이들을 곤경에 빠뜨린다는 생각에 악의 제물이 되길 자청하고, 퇴마사들은 악의 부활을 막기 위한 필사의 결투를 준비하는데...",https://image.tmdb.org/t/p/w500/jCpXFED2mIXSP1bN4tkwvGshudZ.jpg,19세 이상,"안성기, 신현준, 추상미, 오현철, 이기영"
캐치온1[52],10:45:00,히트맨2,,영화,"액션, 코미디",125,"욱해서 그린 웹툰 암살요원 준의 성공으로 잠깐 흥행 작가가 된 준은 시즌2 연재 시작과 동시에 순식간에 뇌절작가로 전락하고, 오히려 망작이 된 시즌2는 준을 노리는 글로벌한 악당들의 내한 열풍을 일으킨다. 아무것도 모른 채, 다시 한번 대히트를 꿈꾸며 새 웹툰 연재에 돌입한 준. 그러나 그의 웹툰을 모방한 테러가 발생하고, 국정원은 다름 아닌 준을 범인으로 지목하는데…",https://image.tmdb.org/t/p/w500/cAUoVuOZONkL2GLcMc6xjjPC1mQ.jpg,15세 이상,"권상우, 정준호, 이이경, 황우슬혜, 이지원"
캐치온1[52],12:50:00,스트리밍,,영화,"스릴러, 미스터리",95,"대한민국에서 가장 핫한 구독자 수 1위의 범죄 채널 스트리머 우상. 오직 1위만이 후원금 전부를 독차지하는 스트리밍 플랫폼 왜그에서 미제 범죄 사건을 분석하며 최고의 인기를 달리던 중, 논란에 휘말리며 한순간 나락으로 떨어진다. 우상은 어떻게든 1위를 되찾고자 화제의 중심에 있던 옷자락 연쇄살인사건의 범인 추적 과정을 실시간으로 방송하기 시작하고, 하나 둘 단서를 쫓으며 연쇄살인범의 실체에 다가간다. 그러나 연쇄살인범이 자신의 방송을 보고 있다는 것을 알게 되며, 우상의 방송은 생각하지 못한 방향으로 흘러가는데…",https://image.tmdb.org/t/p/w500/yyFYasuBuHqS4EoaNmbLhGdvr80.jpg,19세 이상,"강 하늘, 하 서윤, 강 하경, 하 현수, 김 기두"
캐치온1[52],14:25:00,플로우,,영화,"판타지, 애니메이션, 모험",90,"인간이 살았던 흔적만이 남아있는 세상, 홀로 집을 지키던 '고양이'는 갑작스러운 대홍수로 평화롭던 일상과 아늑했던 터전을 잃고 만다. 때마침 다가온 낡은 배에 올라탄 '고양이'는 그 안에서 '골든 리트리버', '카피바라', '여우원숭이', '뱀잡이수리'를 만나고 서로의 차이점을 극복하고 팀을 이뤄 험난한 파도를 헤쳐나간다.",https://image.tmdb.org/t/p/w500/iEDrRE5TWjKrWO2MtkCBR5aH7pT.jpg,전체 이용가,정보 없음
캐치온1[52],15:55:00,더 폴 디렉터스 컷,,영화,"모험, 판타지, 드라마",125,"무성영화 시대의 할리우드를 배경으로, 스턴트맨 로이는 같은 병원에 입원한 호기심 많은 어린 소녀 알렉산드리아와 친구가 되고, 매일 다섯 무법자의 환상적인 모험 이야기를 해준다. 이야기는 현실과 상상이 뒤섞이면서 알렉산드리아를 신비의 세계로 데려간다.",https://image.tmdb.org/t/p/w500/i4fdAyiapSg2RCoQ1O081drER9D.jpg,12세 이상,"리 페이스, 카틴카 운타루, 지투 베르마, 마커스 웨슬리, 레오 빌"
