channel,airtime,title,genre,subgenre,runtime,description,thumbnail,age_rating,cast
캐치온2[53],01:00:00,젖꼭지가 성감대 잘싸는 글래머 처자들,영화,로맨스,50,성적인 묘사가 포함된 영화.,정보 없음,19세 이상,정보 없음
캐치온2[53],01:50:00,유혹 여자가 하고 싶을때,영화,로맨스,70,여자가 원하는 은밀한 판타지를 그린 영화.,정보 없음,19세 이상,정보 없음
캐치온2[53],03:00:00,귀신경찰,영화,"코미디, 판타지, 드라마",115,"선생님 그때부터였던 것 같아요…. 우리 애가 나가더니, 갑자기 엄마~ 엄마~ 목 터지게 부르는 거야! 그래서, 이 개#@뒈!@#^%놈이 또 무슨 사고 치고 지@#%염@$#나 내가 설거지하다 말고 방망이 들고 옥상에 뛰어나갔더니 글쎄 어머머 벼락을 맞았지 뭐예요?! 그리고 애가 얼마나 놀랬으면 지리는거야 내가 계속 지리라 했어요. 선생님 잘했죠??? 그런데 그날 이후…",https://image.tmdb.org/t/p/w500/zu1jVI7YeHwvF1qXiDDdOINJJ0l.jpg,12세 이상,"김수미, 신현준, 채시연, 정준호"
캐치온2[53],04:55:00,히트맨2,영화,"코미디, 액션",125,"욱해서 그린 웹툰 암살요원 준의 성공으로 잠깐 흥행 작가가 된 준은 시즌2 연재 시작과 동시에 순식간에 뇌절작가로 전락하고, 오히려 망작이 된 시즌2는 준을 노리는 글로벌한 악당들의 내한 열풍을 일으킨다. 아무것도 모른 채, 다시 한번 대히트를 꿈꾸며 새 웹툰 연재에 돌입한 준. 그러나 그의 웹툰을 모방한 테러가 발생하고, 국정원은 다름 아닌 준을 범인으로 지목하는데…",https://image.tmdb.org/t/p/w500/cAUoVuOZONkL2GLcMc6xjjPC1mQ.jpg,15세 이상,"권상우, 정준호, 이이경, 황우슬혜, 이지원"
캐치온2[53],07:00:00,허 바디,영화,드라마,110,"올림픽 메달을 노리던 프로다이버 안드레아 압솔로노바는 척추 부상을 입어 더는 선수 생활을 이어갈 수 없게 된다. 사진작가 친구를 따라 포르노 업계로 진출한 그녀, ‘레아 메이’라는 이름으로 다시 태어나 명성을 떨치게 된다. 그녀가 성적으로 유명해질수록 가족과 갈등의 골은 깊어만 가고, 무자비한 운명이 그녀에게 또 다른 시련을 안겨주는데…",https://image.tmdb.org/t/p/w500/91yRUdCghpsJ8X7mVPLwF8JTehC.jpg,19세 이상,"Natalia Germani, Denisa Barešová, Cyril Dobrý, Zuzana Mauréry, Martin Finger"
캐치온2[53],08:50:00,고백,영화,"드라마, 스릴러",80,"의욕적인 신입경찰 지원은 사회복지사 오순을 만난 후 이상하게 그녀가 신경 쓰인다. 무더운 여름날, 아이를 유괴했으니 살리고 싶으면 복지관에 기부를 하라는 유괴범의 이상한 메시지가 언론을 통해 알려지면서 이 사건은 전국민적 관심사로 떠오른다. 그리고 지원은 사건과 오순의 연관성에 대해 의심한다.",https://image.tmdb.org/t/p/w500/2TG4Rx06bKwqLFlhL8pVGFZFUnB.jpg,15세 이상,"박하선, 하윤경, 감소현, 서영화"
캐치온2[53],10:10:00,서브스턴스,영화,"드라마, 공포, SF",145,"한때 아카데미상을 수상하고 명예의 거리까지 입성한 대스타였지만 지금은 TV 에어로빅 쇼 진행자로 전락한 엘리자베스. 50살이 되던 날, 프로듀서에게서 어리고 섹시하지 않다는 이유로 해고를 당한다. 돌아가던 길에 차 사고로 병원에 실려간 엘리자베스는 매력적인 남성 간호사로부터 서브스턴스라는 약물을 권유받는다. 한 번의 주사로 젊고 아름답고 완벽한 수가 탄생하는데...",https://image.tmdb.org/t/p/w500/oUkeyrXvGUEylOQtlYMv9esNRiu.jpg,15세 이상,"데미 무어, 마가렛 퀄리, 데니스 퀘이드, 에드워드 해밀턴-클락, 고어 에이브럼스"
캐치온2[53],12:35:00,적인걸 절대병기의 비밀,영화,액션,105,"당나라 시대, 명성을 떨치던 명탐정 적인걸이 황제의 명령으로 비밀리에 '절대병기'의 비밀을 파헤치는 이야기를 그린 액션 미스터리 영화.",정보 없음,15세 이상,정보 없음
캐치온2[53],14:20:00,세입자,영화,"코미디, 판타지, 공포, SF",95,지독한 공기질과 살인적인 물가 월셋집에서 쫓겨날 처지의 ‘신동’은 궁여지책으로 화장실에 세입자를 들인다. 꿈에 그리던 신도시로의 이주 기회가 찾아와 집을 떠나야 하지만 수상한 세입자가 ‘신동’의 발목을 잡는다. 게다가 세입자가 불러들인 또 다른 천장 속 낯선 존재까지… “이런 게 진정한 윈윈 아니겠습니까?” 방구석에서 벗어나기 위한 세입자들의 반격이 시작된다!,https://image.tmdb.org/t/p/w500/bBuH3hWF7IICLYad5wnb6BftEKO.jpg,15세 이상,"김대건, 허동원, 박소현, 신현규, 손철민"
캐치온2[53],15:55:00,동화지만 청불입니다,영화,"코미디, 로맨스",115,"동화 작가가 꿈이지만 현실은 불법 음란물 단속팀 새내기인 단비는 스타 작가를 찾던 성인 웹소설계 대부 황대표와 우연한 사고로 노예 계약을 맺게 되면서 하루아침에 19금 소설을 쓰게 된다. 생전 접한 적 없는 장르를 집필하는 데 난항을 겪던 단비는 음란물 단속을 하다 권태기에 빠진 선배 정석의 응원과, 친구들의 생생한 경험담에 힘입어 어느새 자신도 알지 못했던 성스러운 재능을 발견하게 되는데…",https://image.tmdb.org/t/p/w500/mkQE7ZOhBMoVhDFbwLiJ43T5GzX.jpg,19세 이상,"박지현, 최시원, 성동일, 박건일, 황세온"
