channel,airtime,title,episode,genre,subgenre,runtime,description,thumbnail,age_rating,cast
투니버스[324],00:00:00,드래곤볼 다이마,1회,애니,키즈,60,알 수 없는 이유로 앙증맞은 꼬마의 모습이 된 오공과 동료들. 사건의 진상을 밝히고 원래 모습으로 돌아올 방법을 찾기 위해 대마계로 모험을 떠난다.,https://image.tmdb.org/t/p/w500/u8GIA3ue6qsgA0QVxku5tg4IPVG.jpg,12세 이상,비어 있음
투니버스[324],01:00:00,드래곤볼 다이마,3회,애니,키즈,60,알 수 없는 이유로 앙증맞은 꼬마의 모습이 된 오공과 동료들. 사건의 진상을 밝히고 원래 모습으로 돌아올 방법을 찾기 위해 대마계로 모험을 떠난다.,https://image.tmdb.org/t/p/w500/u8GIA3ue6qsgA0QVxku5tg4IPVG.jpg,12세 이상,정보 없음
투니버스[324],02:00:00,GO GO다섯 쌍둥이 2,7회,애니,키즈,60,제각각인 쌍둥이 5남매가 벌이는 에피소드를 다룬 애니메이션,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F0%2F0%2F169%2F169174.jpg,전체 이용가,"진하얀, 진보라, 진홍이, 진남이, 진하늘"
투니버스[324],03:00:00,명탐정 코난 15,9회,애니,키즈,60,"지난 4년 동안 오만불손한 행동으로 도의 행정을 망쳤으니 천벌을 받아 마땅하다! 도지사 앞으로 익명의 협박 편지가 도착하고 그 후 대도심 한 복판에서의 폭탄 테러가 발생한다! 코난의 기지로 폭파 15초를 남겨두고 대참사를 막게 된다. 이 사건으로 인해 코난은 더 큰 참사가 발생할 것이라는 것을 예견하고 도지사 참석 예정인, 이전 5주년 기념식이 준비 되고 있는 북촌 마을을 찾아간다. 그 곳에서 만난 8년 만에 모인 북촌 마을 동창생 5명, 그들이 서로 얽혀있는 8년 전 뺑소니 교통 사고 등 수상한 과거의 사건들을 되짚어 가는 도중에 수수께끼 같은 설원 속 살인 사건이 발생한다. 범인을 밝혀내기도 전에 북촌댐 폭파 테러라는 또 다른 위기가 찾아오고, 코난은 다시 한 번 대 참사의 위기에 맞서게 되는데…",https://image.tmdb.org/t/p/w500/7KuZPC7tn9hVh30ye4WYlWyl2gc.jpg,전체 이용가,"미나미 타카야마, 캇페이 야마구치, 와카나 야마자키, 리키야 코야마, 메구미 하야시바라"
투니버스[324],04:00:00,요괴워치 음표 에피소드,36회,애니,키즈,60,"요괴워치 시리즈의 다섯 번째 애니메이션 작품. 요괴학원Y: N과의 조우의 후속작으로, 방영 시기는 2021년 4월부터 2023년 3월까지이며 전전작 요괴워치!에서 이어지는 스토리를 다루는 요괴워치 애니메이션 시리즈의 마지막 작품.",https://i.namu.wiki/i/Q6nBZz8HgtehpLSS6T_48Mp3H7Fcq4luMb1hYMEx6g7oXIwbpccOLQGGa-4V6e7YOd7BnNrtExXRIrGOF4keqsJyslOfFsiGJe7527cmsgLhlBoGu0anmkYDmd9Wh5OKmly4aQZDMZta_9uoQkz4_w.webp,7세 이상,정보 없음
투니버스[324],05:00:00,민쩌미 3,15회,예능,교육예능,60,누구나 일상에서 공감할 수 있는 소재로 웃음을 주는 종합 예능 드라마 콘텐츠,https://image.tmdb.org/t/p/w500/DBNhUgfhL1iwPd1OsbYC72QFPW.jpg,전체 이용가,정보 없음
투니버스[324],06:00:00,안녕 자두야 3,11회,애니,키즈,60,명랑하고 엉뚱한 초등학생 '자두'와 친구들의 좌충우돌 일상을 그린 애니메이션,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA0MDRfMTAg%2FMDAxNjgwNTQ3MzA1OTY2.B5B2-pYjW2hU2E10V_97m_6vR3i21XwGj45r0nUcgF0g.t-xQyO6J9Tq1d3i9e7g_42_YxT3rT0H7yqj2n74i1Mg.JPEG.yjk8915%2Fimage.jpg&type=sc960_832,전체 이용가,"자두, 엄마, 아빠, 미미, 애기"
투니버스[324],07:00:00,퍼피 구조대 8,3회,애니,키즈,30,퍼피 구조대 친구들이 다양한 구조 임무를 수행하는 이야기를 담았습니다.,https://upload.wikimedia.org/wikipedia/ko/thumb/8/89/%ED%8D%BC%ED%94%BC_%EA%B5%AC%EC%A1%B0%EB%8C%80_%EC%8B%9C%EC%A6%8C8.jpg/220px-%ED%8D%BC%ED%94%BC_%EA%B5%AC%EC%A1%B0%EB%8C%80_%EC%8B%9C%EC%A6%8C8.jpg,전체 이용가,정보 없음
투니버스[324],07:30:00,퍼피 구조대 8,4회,애니,키즈,30,퍼피 구조대 친구들이 다양한 구조 임무를 수행하는 이야기를 담았습니다.,https://upload.wikimedia.org/wikipedia/ko/thumb/8/89/%ED%8D%BC%ED%94%BC_%EA%B5%AC%EC%A1%B0%EB%8C%80_%EC%8B%9C%EC%A6%8C8.jpg/220px-%ED%8D%BC%ED%94%BC_%EA%B5%AC%EC%A1%B0%EB%8C%80_%EC%8B%9C%EC%A6%8C8.jpg,전체 이용가,정보 없음
투니버스[324],08:00:00,꽥 좌충우돌 모험일지,3회,애니,키즈,30,게임 크리에이터 신흥 강자 꽥 등장! 역대급 라이벌들과 함께 펼치는 점프맵 대결부터 술래잡기까지! 점프맵 고수 꽥과 게임 완전 정복 해보자!,"https://image.tving.com/ntgs/contents/CTC/caip/CAIP0900/ko/20250622/1455/P001772931.jpg/dims/resize/F_webp,480",전체 이용가,정보 없음
투니버스[324],08:30:00,꽥 좌충우돌 모험일지,4회,애니,키즈,30,게임 크리에이터 신흥 강자 꽥 등장! 역대급 라이벌들과 함께 펼치는 점프맵 대결부터 술래잡기까지! 점프맵 고수 꽥과 게임 완전 정복 해보자!,"https://image.tving.com/ntgs/contents/CTC/caip/CAIP0900/ko/20250622/1455/P001772931.jpg/dims/resize/F_webp,480",전체 이용가,정보 없음
투니버스[324],09:00:00,뚜식이,1회,애니,키즈,30,뚜식이의 신나는 모험 이야기를 담은 애니메이션,정보 없음,전체 이용가,정보 없음
투니버스[324],09:30:00,뚜식이,2회,애니,키즈,30,뚜식이의 신나는 모험 이야기를 담은 애니메이션입니다.,정보 없음,전체 이용가,정보 없음
투니버스[324],10:00:00,퐁당패밀리,3회,애니,키즈,15,양퐁당 가족의 좌충우돌 일상을 그린 유쾌한 애니메이션.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240820_148%2F1724127057044CXzR3_JPEG%2F57_35107243_poster_image_1724127057020.jpg,전체 이용가,"고르방, 부라봉, 양퐁당, 냥냥이, 호꼬"
투니버스[324],10:15:00,퐁당패밀리,4회,애니,키즈,15,양퐁당 가족의 좌충우돌 일상을 그린 유쾌한 애니메이션.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240820_148%2F1724127057044CXzR3_JPEG%2F57_35107243_poster_image_1724127057020.jpg,전체 이용가,"고르방, 부라봉, 양퐁당, 냥냥이, 호꼬"
투니버스[324],10:30:00,꼬마 히어로 슈퍼잭2,9회,애니,키즈,15,슈퍼잭과 친구들이 악당에 맞서 세상을 구하는 모험을 그린 애니메이션.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F05%2F64%2F40%2F57_16056440_poster_image_1599464400986.jpg,전체 이용가,"슈퍼잭, 메이, 톰, 레오 박사, 뚱뚱치킨"
투니버스[324],10:45:00,꼬마 히어로 슈퍼잭2,10회,애니,키즈,15,정의감 넘치는 꼬마 히어로 슈퍼잭과 친구들이 악당에 맞서 도시를 지키는 이야기를 그린 액션 어드벤처 애니메이션.,https://search.pstatic.net/common?type=f&size=176x244&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F57%2F05%2F64%2F40%2F57_16056440_poster_image_1599464400986.jpg,전체 이용가,"슈퍼잭, 메이, 톰, 레오 박사, 뚱뚱치킨"
투니버스[324],11:00:00,사물궁이의 찾아라 궁금이카드,15회,예능,교육예능,30,사물궁이가 궁금증을 해결해 주는 카드 형식의 교육 프로그램입니다.,정보 없음,전체 이용가,정보 없음
투니버스[324],11:30:00,사물궁이의 찾아라 궁금이카드,16회,예능,교육예능,30,사물궁이가 어린이들의 궁금증을 해결해주는 카드 프로그램입니다.,정보 없음,전체 이용가,정보 없음
투니버스[324],12:00:00,신비아파트 고스트볼X의 탄생,11회,애니,키즈,30,"고요하고 평화롭던 신비아파트에 어둠의 노래 소리와 함께 문틈 침입자 혈안귀, 복수의 하얀 원혼 백의귀, 지옥의 삐에로 네비로스가 나타나 신비와 하리 일행을 어둠속에 가두려한다. 어디선가 바람처럼 나타난 전설의 아이기스 퇴마사 리온의 활약으로 가까스로 위기를 넘기는 신비와 하리 일행. 하리와 강림, 리온 세 명 사이에는 미묘한 기류가 흐르는데....",https://image.tmdb.org/t/p/w500/71RjKe4T91NPHvrF569UrZktflr.jpg,12세 이상,"구하리, 구두리, 신비, 금비, 최강림"
투니버스[324],12:30:00,신비아파트 고스트볼X의 탄생,12회,애니,키즈,30,"고요하고 평화롭던 신비아파트에 어둠의 노래 소리와 함께 문틈 침입자 혈안귀, 복수의 하얀 원혼 백의귀, 지옥의 삐에로 네비로스가 나타나 신비와 하리 일행을 어둠속에 가두려한다. 어디선가 바람처럼 나타난 전설의 아이기스 퇴마사 리온의 활약으로 가까스로 위기를 넘기는 신비와 하리 일행. 하리와 강림, 리온 세 명 사이에는 미묘한 기류가 흐르는데....",https://image.tmdb.org/t/p/w500/71RjKe4T91NPHvrF569UrZktflr.jpg,12세 이상,"구하리, 구두리, 신비, 금비, 최강림"
